exit_month_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,win_rate_pct,trading_days,green_days,red_days,worst_day_dollars,best_day_dollars,avg_day_dollars,soft_loss_cap_breach_days,cumulative_pnl_dollars,account_balance_est,month_green,strong_month_flag,equity_peak_est,drawdown_from_peak_dollars
2025-09,MYM,1,-377.9017857142935,-151.1607142857174,-377.9017857142935,-151.1607142857174,0.0,2,1,1,-377.9017857142935,333.75,-22.075892857146755,0,-377.9017857142935,49622.09821428571,False,False,49622.09821428571,0.0
2025-10,MES,21,5701.919642857138,228.0767857142855,271.519982993197,10.860799319727882,61.904761904761905,11,6,5,-275.0,2727.3214285714403,484.8336038961034,0,5701.919642857138,55701.91964285714,True,True,55701.91964285714,0.0
2025-10,MGC,31,19043.82142857144,380.87642857142873,614.316820276498,12.286336405529958,64.51612903225806,12,9,3,-310.19642857143026,4900.0,1541.1517857142865,0,19043.82142857144,69043.82142857143,True,True,69043.82142857143,0.0
2025-10,MYM,22,2091.25,836.5,95.05681818181819,38.02272727272727,59.09090909090909,9,6,3,-436.25,822.5,195.27777777777777,0,1713.3482142857065,51713.34821428571,True,True,51713.34821428571,0.0
2025-10,NQ,27,5716.696428571449,571.6696428571449,211.72949735449814,21.172949735449812,55.55555555555556,10,6,4,-988.6964285714205,3070.0,571.6696428571449,0,5716.696428571449,55716.69642857145,True,True,55716.69642857145,0.0
2025-11,MES,18,2438.459821428569,97.53839285714275,135.46999007936495,5.418799603174597,44.44444444444444,11,6,5,-834.4866071428669,2354.062500000009,221.67816558441535,0,8140.3794642857065,58140.37946428571,True,True,58140.37946428571,0.0
2025-11,MGC,28,4863.303571428628,97.26607142857256,173.68941326530813,3.4737882653061627,46.42857142857143,12,8,3,-895.9999999999809,1313.1250000000819,408.5267857142962,0,23907.125000000065,73907.12500000006,True,True,73907.12500000006,0.0
2025-11,MYM,19,2312.3928571428587,924.9571428571435,121.7048872180452,48.681954887218076,57.89473684210527,9,7,2,-194.375,858.125,256.93253968253987,0,4025.741071428565,54025.741071428565,True,True,54025.741071428565,0.0
2025-11,NQ,28,20848.455357142848,2084.845535714285,744.5876913265303,74.45876913265303,60.71428571428571,12,9,3,-280.0,7481.107142857145,1737.371279761904,0,26565.151785714297,76565.15178571429,True,True,76565.15178571429,0.0
2025-12,MES,9,-1523.281249999991,-60.931249999999636,-169.2534722222212,-6.770138888888848,11.11111111111111,8,1,7,-285.7812499999909,300.0,-190.41015624999886,0,6617.098214285716,56617.09821428572,False,False,58140.37946428571,-1523.2812499999927
2025-12,MGC,20,5383.553571428456,107.67107142856912,269.1776785714228,5.383553571428456,50.0,9,5,4,-561.6071428571558,2826.892857142775,593.8373015872811,0,29290.67857142852,79290.67857142852,True,True,79290.67857142852,0.0
2025-12,MYM,10,2668.125,1067.25,266.8125,106.725,50.0,7,4,3,-234.375,2250.625,381.1607142857143,0,6693.866071428565,56693.866071428565,True,True,56693.866071428565,0.0
2025-12,NQ,15,3251.27678571429,325.127678571429,216.751785714286,21.6751785714286,53.333333333333336,9,7,2,-1843.142857142848,2805.0,361.25297619047666,1,29816.428571428587,79816.42857142858,True,True,79816.42857142858,0.0
2026-01,MES,25,6787.5,271.5,271.5,10.86,72.0,11,9,1,-6.25,1812.5,617.0454545454545,0,13404.598214285716,63404.59821428572,True,True,63404.59821428572,0.0
2026-01,MGC,42,20082.80357142853,401.6560714285706,478.16198979591735,9.563239795918347,47.61904761904761,15,10,5,-1000.2500000000509,9259.99999999999,1338.8535714285686,1,49373.48214285705,99373.48214285704,True,True,99373.48214285704,0.0
2026-01,MYM,19,550.785714285721,220.31428571428842,28.988721804511634,11.595488721804653,42.10526315789473,10,6,4,-398.58928571427896,673.125,55.078571428572104,0,7244.651785714286,57244.65178571429,True,False,57244.65178571429,0.0
2026-01,NQ,28,5279.4821428571595,527.948214285716,188.55293367347,18.855293367347,53.57142857142857,10,8,1,-135.0,1432.5,527.948214285716,0,35095.91071428575,85095.91071428574,True,True,85095.91071428574,0.0
2026-02,MES,24,1512.566964285702,60.50267857142808,63.02362351190425,2.52094494047617,45.83333333333333,11,7,4,-761.7857142857247,1406.25,137.50608766233654,0,14917.165178571417,64917.16517857142,True,False,64917.16517857142,0.0
2026-02,MGC,21,7627.803571428603,152.55607142857207,363.22874149660015,7.264574829932004,33.33333333333333,11,5,5,-964.5892857143281,4030.000000000018,693.4366883116912,0,57001.28571428565,107001.28571428565,True,True,107001.28571428565,0.0
2026-02,MYM,16,-9.883928571434808,-3.953571428573923,-0.6177455357146755,-0.2470982142858702,37.5,12,5,7,-356.38392857143117,755.0,-0.823660714286234,0,7234.767857142851,57234.767857142855,False,False,57244.65178571429,-9.883928571434808
2026-02,NQ,27,9581.973214285717,958.1973214285717,354.8878968253969,35.4887896825397,44.44444444444444,14,9,5,-1513.892857142855,3170.0,684.4266581632655,1,44677.883928571464,94677.88392857146,True,True,94677.88392857146,0.0
2026-03,MCL,14,-4812.660714285741,-9.625321428571482,-343.7614795918386,-0.6875229591836772,21.428571428571427,11,2,9,-2653.053571428572,1749.60714285713,-437.5146103896128,2,-4812.660714285741,45187.33928571426,False,False,45187.33928571426,0.0
2026-03,MES,36,8943.549107142804,357.74196428571213,248.43191964285566,9.937276785714225,50.0,16,10,6,-337.5,4084.062499999982,558.9718191964253,0,23860.71428571422,73860.71428571422,True,True,73860.71428571422,0.0
2026-03,MGC,29,33289.64285714287,665.7928571428574,1147.9187192118231,22.958374384236464,51.724137931034484,14,8,6,-2449.178571428638,16245.000000000027,2340.1594387755104,2,90290.92857142852,140290.92857142852,True,True,140290.92857142852,0.0
2026-03,MYM,33,4416.660714285681,1766.6642857142724,133.83820346320246,53.53528138528098,48.484848484848484,15,7,8,-515.9821428571377,2320.625,294.4440476190454,0,11651.428571428532,61651.428571428536,True,True,61651.428571428536,0.0
2026-03,NQ,42,17344.142857142797,1734.4142857142797,412.95578231292376,41.295578231292374,50.0,16,11,5,-1628.258928571413,5565.0,1084.0089285714248,1,62022.02678571426,112022.02678571426,True,True,112022.02678571426,0.0
2026-04,MCL,1,-358.98214285715113,-0.7179642857143023,-358.98214285715113,-0.7179642857143023,0.0,1,0,1,-358.98214285715113,-358.98214285715113,-358.98214285715113,0,-5171.642857142892,44828.35714285711,False,False,45187.33928571426,-358.9821428571522
2026-04,MES,4,562.5,22.5,140.625,5.625,50.0,2,2,0,262.5,300.0,281.25,0,24423.21428571422,74423.21428571422,True,False,74423.21428571422,0.0
