variant,calendar_date_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,gross_return_pct_on_50k,win_rate_pct
type1_sniper,2025-04-17,MGC,3,2420.0000000000273,48.400000000000546,806.6666666666757,4.840000000000055,100.0
type1_sniper,2025-04-17,MYM,1,-183.125,-73.25,-183.125,-0.36625,0.0
type1_sniper,2025-04-21,MES,2,-168.75,-6.75,-84.375,-0.3375,0.0
type1_sniper,2025-04-21,MGC,1,-197.50000000001364,-3.950000000000273,-197.50000000001364,-0.3950000000000273,0.0
type1_sniper,2025-04-21,MNQ,1,-125.0,-12.5,-125.0,-0.25,0.0
type1_sniper,2025-04-22,MES,3,882.8125,35.3125,294.2708333333333,1.765625,100.0
type1_sniper,2025-04-22,MGC,4,4381.875000000014,87.63750000000027,1095.4687500000034,8.763750000000027,75.0
type1_sniper,2025-04-22,MNQ,4,617.5,61.75,154.375,1.2349999999999999,75.0
type1_sniper,2025-04-22,MYM,2,117.5,47.0,58.75,0.23500000000000001,50.0
type1_sniper,2025-04-23,MES,5,-18.75,-0.75,-3.75,-0.03750000000000002,40.0
type1_sniper,2025-04-23,MGC,2,520.0000000000045,10.400000000000091,260.0000000000023,1.0400000000000091,50.0
type1_sniper,2025-04-23,MNQ,1,-432.5,-43.25,-432.5,-0.865,0.0
type1_sniper,2025-04-23,MYM,6,691.875,276.75,115.3125,1.3837499999999998,50.0
type1_sniper,2025-04-24,MES,9,200.0,8.0,22.22222222222222,0.3999999999999999,33.33333333333333
type1_sniper,2025-04-24,MNQ,2,-417.5,-41.75,-208.75,-0.835,0.0
type1_sniper,2025-04-24,MYM,11,2392.65625,957.0625,217.51420454545453,4.7853125,63.63636363636363
type1_sniper,2025-04-25,MES,3,112.5,4.5,37.5,0.22499999999999976,33.33333333333333
type1_sniper,2025-04-25,MGC,6,1067.4999999999727,21.349999999999454,177.9166666666621,2.134999999999945,50.0
type1_sniper,2025-04-25,MNQ,3,-26.25,-2.625,-8.75,-0.05250000000000021,33.33333333333333
type1_sniper,2025-04-28,MES,2,-162.5,-6.5,-81.25,-0.32499999999999996,50.0
type1_sniper,2025-04-28,MYM,4,803.90625,321.5625,200.9765625,1.6078125,75.0
type1_sniper,2025-04-29,MYM,7,33.125,13.25,4.732142857142857,0.06624999999999992,28.57142857142857
type1_sniper,2025-04-30,MCL,1,-294.9999999999982,-0.5899999999999963,-294.9999999999982,-0.5899999999999963,0.0
type1_sniper,2025-04-30,MES,3,2520.3125,100.8125,840.1041666666666,5.040625,100.0
type1_sniper,2025-04-30,MGC,7,1707.499999999959,34.14999999999918,243.9285714285656,3.4149999999999183,57.14285714285714
type1_sniper,2025-04-30,MNQ,1,-562.5,-56.25,-562.5,-1.125,0.0
type1_sniper,2025-04-30,MYM,2,-270.625,-108.25,-135.3125,-0.54125,0.0
type1_sniper,2025-05-01,MES,6,-181.25,-7.25,-30.208333333333332,-0.36250000000000004,33.33333333333333
type1_sniper,2025-05-01,MGC,8,-100.0,-2.0,-12.5,-0.2,25.0
