side,setup_type,bridge_type,entry_variant,setup_tier,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,entry_time,exit_time,return_pct,pnl,symbol,exchange,timeframe,report_contracts,dollars_per_point,entry_time_et,exit_time_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,calendar_exit_date_et,exit_apex_session_date,realized_points,gross_pnl_dollars_dynamic,planned_target_dollars_dynamic
LONG,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,3886.2,3882.15,3922.8,3890.15,3922.8,4.049999999999727,36.600000000000364,9.037037037037736,3886.0,3882.15,2025-10-03 07:31:00,2025-10-03 09:17:00,-0.0009907359752958644,-96.24999999999773,MGC,tradovate,1m,5,50.0,2025-10-03 03:31:00-04:00,2025-10-03 05:17:00-04:00,2025-10-03 03:31:00,2025-10-03 05:17:00,2025-10,2025-10,2025-10-03,2025-10-02,-3.849999999999909,-192.49999999999545,1830.0000000000182
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,46868.25,46793.25,47018.25,46943.25,47018.25,75.0,150.0,2.0,46868.0,46942.0,2025-10-03 03:06:00,2025-10-03 09:40:00,0.0015789024494323733,74.0,MYM,tradovate,1m,5,2.5,2025-10-02 23:06:00-04:00,2025-10-03 05:40:00-04:00,2025-10-02 23:06:00,2025-10-03 05:40:00,2025-10,2025-10,2025-10-03,2025-10-02,74.0,185.0,375.0
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,6778.0,6768.0,6798.0,6788.0,6798.0,10.0,20.0,2.0,6778.0,6768.0,2025-10-03 03:09:00,2025-10-03 12:46:00,-0.0014753614635585333,-140.0,MES,tradovate,1m,5,25.0,2025-10-02 23:09:00-04:00,2025-10-03 08:46:00-04:00,2025-10-02 23:09:00,2025-10-03 08:46:00,2025-10,2025-10,2025-10-03,2025-10-02,-10.0,-250.0,500.0
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,46868.25,46793.25,47018.25,46943.25,47018.25,75.0,150.0,2.0,46868.0,47018.25,2025-10-03 03:06:00,2025-10-03 13:51:00,0.003205812067935465,150.25,MYM,tradovate,1m,5,2.5,2025-10-02 23:06:00-04:00,2025-10-03 09:51:00-04:00,2025-10-02 23:06:00,2025-10-03 09:51:00,2025-10,2025-10,2025-10-03,2025-10-02,150.25,375.625,375.0
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,3946.25,3942.25,3956.8,3950.25,3956.8,4.0,10.550000000000182,2.6375000000000455,3946.0,3950.8,2025-10-06 02:39:00,2025-10-06 03:12:00,0.0012164216928536309,57.60000000000218,MGC,tradovate,1m,5,50.0,2025-10-05 22:39:00-04:00,2025-10-05 23:12:00-04:00,2025-10-05 22:39:00,2025-10-05 23:12:00,2025-10,2025-10,2025-10-05,2025-10-05,4.800000000000182,240.0000000000091,527.5000000000091
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,3946.25,3942.25,3956.8,3950.25,3956.8,4.0,10.550000000000182,2.6375000000000455,3946.0,3946.0,2025-10-06 02:39:00,2025-10-06 03:21:00,0.0,0.0,MGC,tradovate,1m,5,50.0,2025-10-05 22:39:00-04:00,2025-10-05 23:21:00-04:00,2025-10-05 22:39:00,2025-10-05 23:21:00,2025-10,2025-10,2025-10-05,2025-10-05,0.0,0.0,527.5000000000091
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,3955.05,3948.029285714286,3969.091428571429,3962.0707142857145,3969.091428571429,7.020714285714348,14.041428571428696,2.0,3955.0,3962.8,2025-10-06 03:47:00,2025-10-06 04:43:00,0.001972187104930523,93.60000000000218,MGC,tradovate,1m,5,50.0,2025-10-05 23:47:00-04:00,2025-10-06 00:43:00-04:00,2025-10-05 23:47:00,2025-10-06 00:43:00,2025-10,2025-10,2025-10-06,2025-10-05,7.800000000000182,390.0000000000091,702.0714285714348
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,47081.0,47005.25,47324.0,47155.25,47324.0,75.75,243.0,3.207920792079208,47083.0,47159.0,2025-10-06 01:07:00,2025-10-06 04:44:00,0.0016141707197927513,76.0,MYM,tradovate,1m,5,2.5,2025-10-05 21:07:00-04:00,2025-10-06 00:44:00-04:00,2025-10-05 21:07:00,2025-10-06 00:44:00,2025-10,2025-10,2025-10-06,2025-10-05,76.0,190.0,607.5
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,3955.05,3948.029285714286,3969.091428571429,3962.0707142857145,3969.091428571429,7.020714285714348,14.041428571428696,2.0,3955.0,3969.091428571429,2025-10-06 03:47:00,2025-10-06 05:10:00,0.003562940220336097,183.18857142857541,MGC,tradovate,1m,5,50.0,2025-10-05 23:47:00-04:00,2025-10-06 01:10:00-04:00,2025-10-05 23:47:00,2025-10-06 01:10:00,2025-10,2025-10,2025-10-06,2025-10-05,14.091428571428878,704.5714285714439,702.0714285714348
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,6784.25,6773.5,6803.5,6793.5,6803.5,10.75,19.25,1.7906976744186047,6784.0,6773.5,2025-10-06 03:42:00,2025-10-06 07:41:00,-0.001547759433962237,-147.0,MES,tradovate,1m,5,25.0,2025-10-05 23:42:00-04:00,2025-10-06 03:41:00-04:00,2025-10-05 23:42:00,2025-10-06 03:41:00,2025-10,2025-10,2025-10-06,2025-10-05,-10.5,-262.5,481.25
LONG,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,3965.95,3958.7092857142857,4000.1,3973.190714285714,4000.1,7.240714285714148,34.15000000000009,4.7163855183980505,3965.4,3973.0,2025-10-06 07:52:00,2025-10-06 08:08:00,0.0019165784031875965,91.19999999999891,MGC,tradovate,1m,5,50.0,2025-10-06 03:52:00-04:00,2025-10-06 04:08:00-04:00,2025-10-06 03:52:00,2025-10-06 04:08:00,2025-10,2025-10,2025-10-06,2025-10-05,7.599999999999909,379.99999999999545,1707.5000000000045
LONG,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,3965.95,3958.7092857142857,4000.1,3973.190714285714,4000.1,7.240714285714148,34.15000000000009,4.7163855183980505,3965.4,3958.7092857142857,2025-10-06 07:52:00,2025-10-06 10:08:00,-0.001687273487091967,-86.97928571428747,MGC,tradovate,1m,5,50.0,2025-10-06 03:52:00-04:00,2025-10-06 06:08:00-04:00,2025-10-06 03:52:00,2025-10-06 06:08:00,2025-10,2025-10,2025-10-06,2025-10-05,-6.690714285714421,-334.53571428572104,1707.5000000000045
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,47081.0,47005.25,47324.0,47155.25,47324.0,75.75,243.0,3.207920792079208,47083.0,47005.25,2025-10-06 01:07:00,2025-10-06 13:39:00,-0.0016513391245247533,-77.75,MYM,tradovate,1m,5,2.5,2025-10-05 21:07:00-04:00,2025-10-06 09:39:00-04:00,2025-10-05 21:07:00,2025-10-06 09:39:00,2025-10,2025-10,2025-10-06,2025-10-05,-77.75,-194.375,607.5
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,25142.25,25117.25,25241.5,25167.25,25241.5,25.0,99.25,3.97,25142.5,25168.25,2025-10-07 00:18:00,2025-10-07 04:09:00,0.0010241622750322144,51.5,NQ,tradovate,1m,5,10.0,2025-10-06 20:18:00-04:00,2025-10-07 00:09:00-04:00,2025-10-06 20:18:00,2025-10-07 00:09:00,2025-10,2025-10,2025-10-07,2025-10-06,25.75,257.5,992.5
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,3995.8,3989.5960714285716,4007.1578571428563,4001.303928571428,4007.1578571428563,6.203928571428605,11.357857142856119,1.8307524034308307,3995.8,3989.5960714285716,2025-10-07 03:49:00,2025-10-07 05:11:00,-0.0015526123858623508,-155.09821428571513,MGC,tradovate,1m,5,50.0,2025-10-06 23:49:00-04:00,2025-10-07 01:11:00-04:00,2025-10-06 23:49:00,2025-10-07 01:11:00,2025-10,2025-10,2025-10-07,2025-10-06,-6.203928571428605,-310.19642857143026,567.892857142806
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,25142.25,25117.25,25241.5,25167.25,25241.5,25.0,99.25,3.97,25142.5,25142.5,2025-10-07 00:18:00,2025-10-07 06:31:00,0.0,0.0,NQ,tradovate,1m,5,10.0,2025-10-06 20:18:00-04:00,2025-10-07 02:31:00-04:00,2025-10-06 20:18:00,2025-10-07 02:31:00,2025-10,2025-10,2025-10-07,2025-10-06,0.0,0.0,992.5
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,4017.25,4006.131785714286,4039.4864285714284,4028.368214285714,4039.4864285714284,11.118214285714203,22.236428571428405,2.0,4016.6,4027.9,2025-10-08 01:28:00,2025-10-08 02:22:00,0.002813324702484632,135.60000000000218,MGC,tradovate,1m,5,50.0,2025-10-07 21:28:00-04:00,2025-10-07 22:22:00-04:00,2025-10-07 21:28:00,2025-10-07 22:22:00,2025-10,2025-10,2025-10-07,2025-10-07,11.300000000000182,565.0000000000091,1111.8214285714203
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,4017.25,4006.131785714286,4039.4864285714284,4028.368214285714,4039.4864285714284,11.118214285714203,22.236428571428405,2.0,4016.6,4039.4864285714284,2025-10-08 01:28:00,2025-10-08 04:02:00,0.005697960606340757,274.63714285714195,MGC,tradovate,1m,5,50.0,2025-10-07 21:28:00-04:00,2025-10-08 00:02:00-04:00,2025-10-07 21:28:00,2025-10-08 00:02:00,2025-10,2025-10,2025-10-08,2025-10-07,22.886428571428496,1144.3214285714248,1111.8214285714203
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,4040.75,4036.75,4071.5,4044.75,4071.5,4.0,30.75,7.6875,4040.7,4046.3,2025-10-08 04:44:00,2025-10-08 04:51:00,0.001385898482936243,67.20000000000437,MGC,tradovate,1m,5,50.0,2025-10-08 00:44:00-04:00,2025-10-08 00:51:00-04:00,2025-10-08 00:44:00,2025-10-08 00:51:00,2025-10,2025-10,2025-10-08,2025-10-07,5.600000000000364,280.0000000000182,1537.5
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,4040.75,4036.75,4071.5,4044.75,4071.5,4.0,30.75,7.6875,4040.7,4071.5,2025-10-08 04:44:00,2025-10-08 15:05:00,0.007622441656148782,369.6000000000022,MGC,tradovate,1m,5,50.0,2025-10-08 00:44:00-04:00,2025-10-08 11:05:00-04:00,2025-10-08 00:44:00,2025-10-08 11:05:00,2025-10,2025-10,2025-10-08,2025-10-07,30.800000000000182,1540.000000000009,1537.5
