exit_month_et,symbol,trades,gross_pnl_dollars_dynamic,gross_points,avg_trade_dollars_dynamic,avg_points_per_trade,win_rate_pct,cumulative_pnl_dollars_dynamic
2025-09,MYM,1,-377.9017857142935,-151.1607142857174,-377.9017857142935,-151.1607142857174,0.0,-377.9017857142935
2025-10,MES,12,1124.5982142856974,44.983928571427896,93.71651785714145,3.748660714285658,41.66666666666667,1124.5982142856974
2025-10,MGC,18,8974.874999999998,179.49749999999995,498.6041666666666,9.97208333333333,55.55555555555556,8974.874999999998
2025-10,MYM,12,1961.25,784.5,163.4375,65.375,58.333333333333336,1583.3482142857065
2025-10,NQ,13,6721.008928571464,672.1008928571464,517.0006868131895,51.70006868131895,61.53846153846154,6721.008928571464
2025-11,MES,12,-1754.508928571431,-70.18035714285725,-146.20907738095258,-5.848363095238104,33.33333333333333,-629.9107142857335
2025-11,MGC,13,1534.1071428571013,30.682142857142026,118.00824175823855,2.3601648351647713,46.15384615384615,10508.9821428571
2025-11,MYM,11,2031.1428571428587,812.4571428571435,184.6493506493508,73.85974025974032,63.63636363636363,3614.491071428565
2025-11,NQ,18,11901.35714285716,1190.135714285716,661.1865079365089,66.11865079365089,55.55555555555556,18622.366071428623
2025-12,MES,5,-462.5,-18.5,-92.5,-3.7,20.0,-1092.4107142857335
2025-12,MGC,13,-464.51785714289144,-9.290357142857829,-35.7321428571455,-0.7146428571429099,30.76923076923077,10044.464285714208
2025-12,MYM,7,3208.125,1283.25,458.30357142857144,183.32142857142858,71.42857142857143,6822.616071428565
2025-12,NQ,13,2215.0,221.5,170.3846153846154,17.03846153846154,53.84615384615385,20837.366071428623
2026-01,MES,17,3731.25,149.25,219.48529411764707,8.779411764705882,58.82352941176471,2638.839285714266
2026-01,MGC,19,3378.3928571427623,67.56785714285525,177.81015037593485,3.5562030075186972,36.84210526315789,13422.85714285697
2026-01,MYM,13,152.5,61.0,11.73076923076923,4.6923076923076925,38.46153846153847,6975.116071428565
2026-01,NQ,22,3318.3571428571304,331.83571428571304,150.834415584415,15.083441558441502,50.0,24155.723214285754
2026-02,MES,15,75.71428571427532,3.028571428571013,5.047619047618355,0.2019047619047342,40.0,2714.5535714285415
2026-02,MGC,11,9690.857142857112,193.81714285714224,880.9870129870102,17.619740259740205,45.45454545454545,23113.714285714083
2026-02,MYM,12,-373.50000000000364,-149.40000000000146,-31.125000000000302,-12.450000000000122,33.33333333333333,6601.616071428562
2026-02,NQ,21,15658.51785714287,1565.851785714287,745.6437074829938,74.56437074829938,61.904761904761905,39814.24107142862
2026-03,MES,32,7032.544642857124,281.30178571428496,219.76702008928513,8.790680803571405,53.125,9747.098214285666
2026-03,MGC,25,19623.660714285732,392.4732142857147,784.9464285714292,15.698928571428587,60.0,42737.37499999981
2026-03,MYM,25,5099.312499999978,2039.7249999999913,203.97249999999912,81.58899999999966,52.0,11700.92857142854
2026-03,NQ,31,12689.383928571406,1268.9383928571406,409.3349654377873,40.93349654377873,54.83870967741935,52503.62500000003
2026-04,MES,4,250.0,10.0,62.5,2.5,50.0,9997.098214285666
2026-04,MGC,3,437.58928571428453,8.751785714285692,145.86309523809484,2.9172619047618973,33.33333333333333,43174.9642857141
2026-04,MYM,1,-259.375,-103.75,-259.375,-103.75,0.0,11441.55357142854
2026-04,NQ,5,374.7053571428478,37.47053571428478,74.94107142856956,7.494107142856956,40.0,52878.33035714288
