side,setup_type,bridge_type,entry_variant,setup_tier,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,entry_time,exit_time,return_pct,pnl,symbol,exchange,timeframe,report_contracts,dollars_per_point,entry_time_et,exit_time_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,calendar_exit_date_et,exit_apex_session_date,realized_points,gross_pnl_dollars_dynamic,planned_target_dollars_dynamic,entry_in_apex_hours,exit_in_apex_hours,apex_hours_ok,forced_flat_before_close_ok
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,46898.0,46821.25,47272.0,46971.25,47272.0,76.75,374.0,4.872964169381108,46898.0,46988.0,2025-10-03 06:23:00,2025-10-03 13:46:00,0.0019190583820205553,90.0,MYM,tradovate,1m,5,2.5,2025-10-03 02:23:00-04:00,2025-10-03 09:46:00-04:00,2025-10-03 02:23:00,2025-10-03 09:46:00,2025-10,2025-10,2025-10-03,2025-10-02,90.0,225.0,935.0,True,True,True,True
LONG,ASIA_CONTINUATION,C2C3,PULLBACK_1M,B,46898.0,46821.25,47272.0,46971.25,47272.0,76.75,374.0,4.872964169381108,46898.0,47272.0,2025-10-03 06:23:00,2025-10-03 16:05:00,0.007974753720840999,374.0,MYM,tradovate,1m,5,2.5,2025-10-03 02:23:00-04:00,2025-10-03 12:05:00-04:00,2025-10-03 02:23:00,2025-10-03 12:05:00,2025-10,2025-10,2025-10-03,2025-10-02,374.0,935.0,935.0,True,True,True,True
LONG,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,3965.95,3958.7092857142857,4000.1,3973.190714285714,4000.1,7.240714285714148,34.15000000000009,4.7163855183980505,3965.4,3973.0,2025-10-06 07:52:00,2025-10-06 08:08:00,0.0019165784031875965,91.19999999999891,MGC,tradovate,1m,5,50.0,2025-10-06 03:52:00-04:00,2025-10-06 04:08:00-04:00,2025-10-06 03:52:00,2025-10-06 04:08:00,2025-10,2025-10,2025-10-06,2025-10-05,7.599999999999909,379.99999999999545,1707.5000000000045,True,True,True,True
LONG,LONDON_CONTINUATION,iFVG,PULLBACK_1M,A,3965.95,3958.7092857142857,4000.1,3973.190714285714,4000.1,7.240714285714148,34.15000000000009,4.7163855183980505,3965.4,3958.7092857142857,2025-10-06 07:52:00,2025-10-06 10:08:00,-0.001687273487091967,-86.97928571428747,MGC,tradovate,1m,5,50.0,2025-10-06 03:52:00-04:00,2025-10-06 06:08:00-04:00,2025-10-06 03:52:00,2025-10-06 06:08:00,2025-10,2025-10,2025-10-06,2025-10-05,-6.690714285714421,-334.53571428572104,1707.5000000000045,True,True,True,True
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,4040.75,4036.75,4071.5,4044.75,4071.5,4.0,30.75,7.6875,4040.7,4046.3,2025-10-08 04:44:00,2025-10-08 04:51:00,0.001385898482936243,67.20000000000437,MGC,tradovate,1m,5,50.0,2025-10-08 00:44:00-04:00,2025-10-08 00:51:00-04:00,2025-10-08 00:44:00,2025-10-08 00:51:00,2025-10,2025-10,2025-10-08,2025-10-07,5.600000000000364,280.0000000000182,1537.5,True,True,True,True
LONG,ASIA_CONTINUATION,iFVG,PULLBACK_1M,B,4040.75,4036.75,4071.5,4044.75,4071.5,4.0,30.75,7.6875,4040.7,4071.5,2025-10-08 04:44:00,2025-10-08 15:05:00,0.007622441656148782,369.6000000000022,MGC,tradovate,1m,5,50.0,2025-10-08 00:44:00-04:00,2025-10-08 11:05:00-04:00,2025-10-08 00:44:00,2025-10-08 11:05:00,2025-10,2025-10,2025-10-08,2025-10-07,30.800000000000182,1540.000000000009,1537.5,True,True,True,True
SHORT,NYPM_CONTINUATION,C2C3,PULLBACK_1M,A,24668.75,24757.2625,24524.725,24602.2375,24524.725,88.51250000000073,144.02500000000146,1.627171303488211,24669.25,24576.5,2025-10-10 17:47:00,2025-10-10 18:55:00,0.0037597413784367095,185.5,NQ,tradovate,1m,5,10.0,2025-10-10 13:47:00-04:00,2025-10-10 14:55:00-04:00,2025-10-10 13:47:00,2025-10-10 14:55:00,2025-10,2025-10,2025-10-10,2025-10-09,92.75,927.5,1440.2500000000146,True,True,True,True
SHORT,NYPM_CONTINUATION,iFVG,PULLBACK_1M,B,45904.75,45979.75,45754.75,45829.75,45754.75,75.0,150.0,2.0,45906.0,45831.0,2025-10-10 18:53:00,2025-10-10 19:28:00,0.0016337733629591122,75.0,MYM,tradovate,1m,5,2.5,2025-10-10 14:53:00-04:00,2025-10-10 15:28:00-04:00,2025-10-10 14:53:00,2025-10-10 15:28:00,2025-10,2025-10,2025-10-10,2025-10-09,75.0,187.5,375.0,True,True,True,True
SHORT,NYPM_CONTINUATION,C2C3,PULLBACK_1M,A,24668.75,24757.2625,24524.725,24602.2375,24524.725,88.51250000000073,144.02500000000146,1.627171303488211,24669.25,24524.725,2025-10-10 17:47:00,2025-10-10 19:28:00,0.005858508061655776,289.0500000000029,NQ,tradovate,1m,5,10.0,2025-10-10 13:47:00-04:00,2025-10-10 15:28:00-04:00,2025-10-10 13:47:00,2025-10-10 15:28:00,2025-10,2025-10,2025-10-10,2025-10-09,144.52500000000146,1445.2500000000146,1440.2500000000146,True,True,True,True
SHORT,NYPM_CONTINUATION,iFVG,PULLBACK_1M,B,6635.0,6652.616964285714,6601.266071428572,6618.383035714286,6601.266071428572,17.616964285713948,33.733928571427896,1.9148547970199163,6635.0,6613.75,2025-10-10 18:53:00,2025-10-10 19:36:00,0.0032027128862095466,170.0,MES,tradovate,1m,5,25.0,2025-10-10 14:53:00-04:00,2025-10-10 15:36:00-04:00,2025-10-10 14:53:00,2025-10-10 15:36:00,2025-10,2025-10,2025-10-10,2025-10-09,21.25,531.25,843.3482142856974,True,True,True,True
SHORT,NYPM_CONTINUATION,iFVG,PULLBACK_1M,B,45904.75,45979.75,45754.75,45829.75,45754.75,75.0,150.0,2.0,45906.0,45754.75,2025-10-10 18:53:00,2025-10-10 19:38:00,0.003294776281967504,151.25,MYM,tradovate,1m,5,2.5,2025-10-10 14:53:00-04:00,2025-10-10 15:38:00-04:00,2025-10-10 14:53:00,2025-10-10 15:38:00,2025-10,2025-10,2025-10-10,2025-10-09,151.25,378.125,375.0,True,True,True,True
SHORT,NYPM_CONTINUATION,iFVG,PULLBACK_1M,B,6635.0,6652.616964285714,6601.266071428572,6618.383035714286,6601.266071428572,17.616964285713948,33.733928571427896,1.9148547970199163,6635.0,6601.266071428572,2025-10-10 18:53:00,2025-10-10 19:54:00,0.0050842394229733134,236.13749999999527,MES,tradovate,1m,5,25.0,2025-10-10 14:53:00-04:00,2025-10-10 15:54:00-04:00,2025-10-10 14:53:00,2025-10-10 15:54:00,2025-10,2025-10,2025-10-10,2025-10-09,33.733928571427896,843.3482142856974,843.3482142856974,True,True,True,True
LONG,LONDON_CONTINUATION,C2C3,PULLBACK_1M,A,4094.8,4090.3382142857145,4178.7,4098.561785714285,4178.7,4.461785714285725,83.89999999999964,18.80413031297514,4094.7,4090.3382142857145,2025-10-13 07:26:00,2025-10-13 07:31:00,-0.0010652271751985243,-104.68285714284866,MGC,tradovate,1m,5,50.0,2025-10-13 03:26:00-04:00,2025-10-13 03:31:00-04:00,2025-10-13 03:26:00,2025-10-13 03:31:00,2025-10,2025-10,2025-10-13,2025-10-12,-4.361785714285361,-218.08928571426804,4194.999999999982,True,True,True,True
LONG,LONDON_CONTINUATION,MSS,PULLBACK_1M,A,4092.9,4086.493214285714,4178.7,4097.806785714286,4178.7,6.406785714285888,85.79999999999973,13.392050838953827,4092.9,4100.0,2025-10-13 08:45:00,2025-10-13 10:50:00,0.0017347113293753047,85.19999999999891,MGC,tradovate,1m,5,50.0,2025-10-13 04:45:00-04:00,2025-10-13 06:50:00-04:00,2025-10-13 04:45:00,2025-10-13 06:50:00,2025-10,2025-10,2025-10-13,2025-10-12,7.099999999999909,354.99999999999545,4289.999999999986,True,True,True,True
LONG,LONDON_CONTINUATION,MSS,PULLBACK_1M,A,4092.9,4086.493214285714,4178.7,4097.806785714286,4178.7,6.406785714285888,85.79999999999973,13.392050838953827,4092.9,4092.9,2025-10-13 08:45:00,2025-10-13 11:59:00,0.0,0.0,MGC,tradovate,1m,5,50.0,2025-10-13 04:45:00-04:00,2025-10-13 07:59:00-04:00,2025-10-13 04:45:00,2025-10-13 07:59:00,2025-10,2025-10,2025-10-13,2025-10-12,0.0,0.0,4289.999999999986,True,True,True,True
SHORT,LONDON_CONTINUATION,C2C3,PULLBACK_1M,A,46084.75,46159.75,45662.0,46009.75,45662.0,75.0,422.75,5.636666666666667,46085.0,45998.0,2025-10-14 06:41:00,2025-10-14 07:07:00,0.0018878159921883464,87.0,MYM,tradovate,1m,5,2.5,2025-10-14 02:41:00-04:00,2025-10-14 03:07:00-04:00,2025-10-14 02:41:00,2025-10-14 03:07:00,2025-10,2025-10,2025-10-14,2025-10-13,87.0,217.5,1056.875,True,True,True,True
SHORT,LONDON_CONTINUATION,C2C3,PULLBACK_1M,A,46084.75,46159.75,45662.0,46009.75,45662.0,75.0,422.75,5.636666666666667,46085.0,46085.0,2025-10-14 06:41:00,2025-10-14 08:30:00,-0.0,-0.0,MYM,tradovate,1m,5,2.5,2025-10-14 02:41:00-04:00,2025-10-14 04:30:00-04:00,2025-10-14 02:41:00,2025-10-14 04:30:00,2025-10,2025-10,2025-10-14,2025-10-13,0.0,0.0,1056.875,True,True,True,True
