exit_month_et,symbol,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,win_rate_pct,trading_days,green_days,red_days,worst_day_dollars,best_day_dollars,avg_day_dollars,soft_loss_cap_breach_days,cumulative_pnl_dollars,account_balance_est,month_green,strong_month_flag,equity_peak_est,drawdown_from_peak_dollars
2025-09,MYM,1,-377.9017857142935,-151.1607142857174,-377.9017857142935,-151.1607142857174,0.0,2,1,1,-377.9017857142935,200.0,-88.95089285714675,0,-377.9017857142935,49622.09821428571,False,False,49622.09821428571,0.0
2025-10,MES,12,1124.5982142856974,44.983928571427896,93.71651785714145,3.748660714285658,41.66666666666667,7,3,4,-431.25,1374.5982142856974,107.9783163265282,0,1124.5982142856974,51124.598214285696,True,False,51124.598214285696,0.0
2025-10,MGC,18,8974.874999999998,179.49749999999995,498.6041666666666,9.97208333333333,55.55555555555556,8,7,1,-192.49999999999545,4900.0,1053.1093749999998,0,8974.874999999998,58974.875,True,True,58974.875,0.0
2025-10,MYM,12,1961.25,784.5,163.4375,65.375,58.333333333333336,5,4,1,-414.375,1160.0,352.25,0,1583.3482142857065,51583.34821428571,True,False,51583.34821428571,0.0
2025-10,NQ,13,6721.008928571464,672.1008928571464,517.0006868131895,51.70006868131895,61.53846153846154,7,5,2,-897.5,2552.5,960.1441326530663,0,6721.008928571464,56721.008928571464,True,True,56721.008928571464,0.0
2025-11,MES,12,-1754.508928571431,-70.18035714285725,-146.20907738095258,-5.848363095238104,33.33333333333333,8,3,5,-1475.714285714275,1187.5,-219.31361607142887,1,-629.9107142857335,49370.08928571427,False,False,51124.598214285696,-1754.5089285714275
2025-11,MGC,13,1534.1071428571013,30.682142857142026,118.00824175823855,2.3601648351647713,46.15384615384615,9,5,4,-591.5892857142808,890.0000000000091,104.72420634920228,0,10508.9821428571,60508.9821428571,True,False,60508.9821428571,0.0
2025-11,MYM,11,2031.1428571428587,812.4571428571435,184.6493506493508,73.85974025974032,63.63636363636363,6,5,1,-643.589285714279,1047.5,338.5238095238098,0,3614.491071428565,53614.491071428565,True,True,53614.491071428565,0.0
2025-11,NQ,18,11901.35714285716,1190.135714285716,661.1865079365089,66.11865079365089,55.55555555555556,9,6,3,-2206.1428571428405,5177.5,1322.3730158730177,1,18622.366071428623,68622.36607142862,True,True,68622.36607142862,0.0
2025-12,MES,5,-462.5,-18.5,-92.5,-3.7,20.0,4,1,3,-262.5,300.0,-115.625,0,-1092.4107142857335,48907.58928571427,False,False,51124.598214285696,-2217.0089285714275
2025-12,MGC,13,-464.51785714289144,-9.290357142857829,-35.7321428571455,-0.7146428571429099,30.76923076923077,6,3,3,-429.53571428570285,675.0,21.17857142856489,0,10044.464285714208,60044.46428571421,False,False,60508.9821428571,-464.51785714289144
2025-12,MYM,7,3208.125,1283.25,458.30357142857144,183.32142857142858,71.42857142857143,4,3,1,-234.375,2450.0,802.03125,0,6822.616071428565,56822.616071428565,True,True,56822.616071428565,0.0
2025-12,NQ,13,2215.0,221.5,170.3846153846154,17.03846153846154,53.84615384615385,8,6,2,-397.5,987.5,276.875,0,20837.366071428623,70837.36607142862,True,True,70837.36607142862,0.0
2026-01,MES,17,3731.25,149.25,219.48529411764707,8.779411764705882,58.82352941176471,9,6,3,-250.0,1312.5,414.5833333333333,0,2638.839285714266,52638.83928571427,True,True,52638.83928571427,0.0
2026-01,MGC,19,3378.3928571427623,67.56785714285525,177.81015037593485,3.5562030075186972,36.84210526315789,10,5,5,-1000.2500000000509,2584.999999999991,337.83928571427623,1,13422.85714285697,63422.85714285697,True,True,63422.85714285697,0.0
2026-01,MYM,13,152.5,61.0,11.73076923076923,4.6923076923076925,38.46153846153847,7,5,2,-201.875,217.5,21.785714285714285,0,6975.116071428565,56975.116071428565,True,False,56975.116071428565,0.0
2026-01,NQ,22,3318.3571428571304,331.83571428571304,150.834415584415,15.083441558441502,50.0,9,8,1,-10.0,1255.0,368.7063492063478,0,24155.723214285754,74155.72321428575,True,True,74155.72321428575,0.0
2026-02,MES,15,75.71428571427532,3.028571428571013,5.047619047618355,0.2019047619047342,40.0,9,4,5,-524.2857142857247,850.0,8.412698412697258,0,2714.5535714285415,52714.55357142854,True,False,52714.55357142854,0.0
2026-02,MGC,11,9690.857142857112,193.81714285714224,880.9870129870102,17.619740259740205,45.45454545454545,6,4,2,-964.5892857143281,7090.000000000009,1615.142857142852,0,23113.714285714083,73113.71428571409,True,True,73113.71428571409,0.0
2026-02,MYM,12,-373.50000000000364,-149.40000000000146,-31.125000000000302,-12.450000000000122,33.33333333333333,9,4,5,-311.00000000000364,227.5,-41.500000000000405,0,6601.616071428562,56601.616071428565,False,False,56975.116071428565,-373.5
2026-02,NQ,21,15658.51785714287,1565.851785714287,745.6437074829938,74.56437074829938,61.904761904761905,10,8,2,-498.4375,5921.95535714287,1565.851785714287,0,39814.24107142862,89814.24107142862,True,True,89814.24107142862,0.0
2026-03,MES,32,7032.544642857124,281.30178571428496,219.76702008928513,8.790680803571405,53.125,14,9,5,-337.5,4084.062499999982,502.32461734693743,0,9747.098214285666,59747.09821428567,True,True,59747.09821428567,0.0
2026-03,MGC,25,19623.660714285732,392.4732142857147,784.9464285714292,15.698928571428587,60.0,11,6,5,-1196.7678571428678,9470.000000000027,1736.022727272728,1,42737.37499999981,92737.37499999981,True,True,92737.37499999981,0.0
2026-03,MYM,25,5099.312499999978,2039.7249999999913,203.97249999999912,81.58899999999966,52.0,12,7,5,-300.2053571428587,2320.625,424.9427083333315,0,11700.92857142854,61700.928571428536,True,True,61700.928571428536,0.0
2026-03,NQ,31,12689.383928571406,1268.9383928571406,409.3349654377873,40.93349654377873,54.83870967741935,13,9,4,-1628.258928571413,6170.0,976.1064560439543,1,52503.62500000003,102503.62500000003,True,True,102503.62500000003,0.0
2026-04,MES,4,250.0,10.0,62.5,2.5,50.0,2,1,1,-12.5,262.5,125.0,0,9997.098214285666,59997.09821428567,True,False,59997.09821428567,0.0
2026-04,MGC,3,437.58928571428453,8.751785714285692,145.86309523809484,2.9172619047618973,33.33333333333333,1,1,0,965.0000000000092,965.0000000000092,965.0000000000092,0,43174.9642857141,93174.9642857141,True,False,93174.9642857141,0.0
2026-04,MYM,1,-259.375,-103.75,-259.375,-103.75,0.0,1,0,1,-259.375,-259.375,-259.375,0,11441.55357142854,61441.553571428536,False,False,61700.928571428536,-259.375
2026-04,NQ,5,374.7053571428478,37.47053571428478,74.94107142856956,7.494107142856956,40.0,3,2,1,-427.7946428571522,512.5,124.9017857142826,0,52878.33035714288,102878.33035714287,True,False,102878.33035714287,0.0
