calendar_exit_date_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-13,2,-25.0,-2.5,-12.5,50.0,-25.0
2025-04-22,1,-330.0,-33.0,-330.0,0.0,-355.0
2025-04-23,2,520.0,26.0,260.0,50.0,165.0
2025-04-28,5,1605.0,89.5,321.0,80.0,1770.0
2025-04-29,1,0.0,0.0,0.0,0.0,1770.0
2025-04-30,1,-230.0,-23.0,-230.0,0.0,1540.0
2025-05-01,2,230.0,23.0,115.0,50.0,1770.0
2025-05-11,1,192.5,19.25,192.5,100.0,1962.5
2025-05-12,3,3782.5,378.25,1260.8333333333333,66.66666666666666,5745.0
2025-05-14,1,-445.0,-22.25,-445.0,0.0,5300.0
2025-05-15,2,-70.0,-3.5,-35.0,50.0,5230.0
2025-05-16,2,-145.0,-7.25,-72.5,50.0,5085.0
2025-05-20,2,-60.0,-3.0,-30.0,50.0,5025.0
2025-05-25,1,322.5,32.25,322.5,100.0,5347.5
2025-05-26,3,582.5,64.25,194.16666666666666,66.66666666666666,5930.0
2025-05-27,2,-310.0,-29.75,-155.0,0.0,5620.0
2025-05-28,4,-187.5,-12.0,-46.875,50.0,5432.5
2025-06-02,2,-1065.0,-53.25,-532.5,0.0,4367.5
2025-06-03,2,5495.0,274.75,2747.5,100.0,9862.5
2025-06-05,1,-262.5,-26.25,-262.5,0.0,9600.0
2025-06-08,1,197.5,19.75,197.5,100.0,9797.5
2025-06-09,1,1245.0,124.5,1245.0,100.0,11042.5
2025-06-10,1,197.5,19.75,197.5,100.0,11240.0
2025-06-11,1,0.0,0.0,0.0,0.0,11240.0
2025-06-15,1,262.5,26.25,262.5,100.0,11502.5
2025-06-16,1,985.0,98.5,985.0,100.0,12487.5
2025-06-17,1,207.5,20.75,207.5,100.0,12695.0
2025-06-18,1,745.0,74.5,745.0,100.0,13440.0
2025-06-19,1,192.5,19.25,192.5,100.0,13632.5
2025-06-20,1,0.0,0.0,0.0,0.0,13632.5
2025-06-23,2,4180.0,209.0,2090.0,100.0,17812.5
2025-06-25,3,620.0,41.5,206.66666666666666,66.66666666666666,18432.5
2025-06-26,4,-224.64285714282596,36.0178571428587,-56.16071428570649,50.0,18207.857142857174
2025-06-27,1,752.5,75.25,752.5,100.0,18960.357142857174
2025-06-30,1,-522.5,-26.125,-522.5,0.0,18437.857142857174
2025-07-07,3,80.0,13.75,26.666666666666668,66.66666666666666,18517.857142857174
2025-07-08,1,0.0,0.0,0.0,0.0,18517.857142857174
2025-07-10,2,212.5,21.25,106.25,50.0,18730.357142857174
2025-07-16,1,217.5,21.75,217.5,100.0,18947.857142857174
2025-07-17,1,1815.0,181.5,1815.0,100.0,20762.857142857174
2025-07-21,1,-257.5,-25.75,-257.5,0.0,20505.357142857174
2025-07-22,2,-305.0,-5.75,-152.5,50.0,20200.357142857174
2025-07-23,1,-247.5,-24.75,-247.5,0.0,19952.857142857174
