exit_month_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,win_rate_pct,trading_days,green_days,red_days,worst_day_dollars,best_day_dollars,avg_day_dollars,soft_loss_cap_breach_days,cumulative_pnl_dollars,account_balance_est,month_green,eligible_for_review_flag,strong_month_flag,conservative_payout_view,retained_buffer_view,equity_peak_est,drawdown_from_peak_dollars
2025-10,27,5716.696428571449,571.6696428571449,211.72949735449814,21.172949735449812,55.55555555555556,14,8,5,-1563.6964285714203,3070.0,408.33545918367497,1,5716.696428571449,55716.69642857145,True,True,True,4573.3571428571595,1143.3392857142899,55716.69642857145,0.0
2025-11,28,20848.455357142848,2084.845535714285,744.5876913265303,74.45876913265303,60.71428571428571,13,9,3,-522.5,6576.107142857145,1603.7273351648344,0,26565.151785714297,76565.15178571429,True,True,True,16678.76428571428,4169.69107142857,76565.15178571429,0.0
2025-12,15,3251.27678571429,325.127678571429,216.751785714286,21.6751785714286,53.333333333333336,10,8,2,-1843.1428571428478,2805.0,325.127678571429,1,29816.428571428587,79816.42857142858,True,True,True,2601.021428571432,650.255357142858,79816.42857142858,0.0
2026-01,28,5279.4821428571595,527.948214285716,188.55293367347,18.855293367347,53.57142857142857,11,9,1,-415.0,1107.5,479.9529220779236,0,35095.91071428575,85095.91071428574,True,True,True,4223.585714285728,1055.896428571432,85095.91071428574,0.0
2026-02,27,9581.973214285717,958.1973214285717,354.8878968253969,35.4887896825397,44.44444444444444,15,9,6,-1015.491071428587,3170.0,638.7982142857145,1,44677.883928571464,94677.88392857146,True,True,True,7665.578571428574,1916.3946428571435,94677.88392857146,0.0
2026-03,42,17344.142857142797,1734.4142857142797,412.95578231292376,41.295578231292374,50.0,22,14,7,-1628.258928571413,5565.0,788.3701298701271,1,62022.02678571426,112022.02678571426,True,True,True,13875.314285714237,3468.8285714285594,112022.02678571426,0.0
2026-04,5,2669.937499999978,266.9937499999978,533.9874999999956,53.398749999999566,60.0,3,2,1,-427.7946428571522,2312.7321428571304,889.9791666666594,0,64691.96428571424,114691.96428571423,True,True,True,2135.9499999999825,533.9874999999956,114691.96428571423,0.0
