exit_month_et,trades,gross_pnl_dollars_dynamic,gross_points,avg_trade_dollars_dynamic,avg_points_per_trade,win_rate_pct,cumulative_pnl_dollars_dynamic
2025-04,1,-670.0,-33.5,-670.0,-33.5,0.0,-670.0
2025-05,1,-545.0,-27.25,-545.0,-27.25,0.0,-1215.0
2025-06,6,-460.0,-23.0,-76.66666666666667,-3.8333333333333335,33.33333333333333,-1675.0
2025-09,3,4130.0,206.5,1376.6666666666667,68.83333333333333,66.66666666666666,2455.0
2025-11,1,-525.839285714319,-26.29196428571595,-525.839285714319,-26.29196428571595,0.0,1929.160714285681
2025-12,1,-530.0,-26.5,-530.0,-26.5,0.0,1399.160714285681
2026-01,3,2835.0,141.75,945.0,47.25,66.66666666666666,4234.160714285681
2026-02,5,13950.0,697.5,2790.0,139.5,80.0,18184.16071428568
