exit_month_et,trades,gross_pnl_dollars_dynamic,gross_pnl_dollars_5_mnq,gross_pnl_dollars_10_mnq,avg_trade_dollars_dynamic,gross_points,avg_points_per_trade,win_rate_pct,cumulative_pnl_dollars_dynamic
2025-04,10,266.75,1645.0,3290.0,26.675,164.5,16.45,60.0,266.75
2025-05,13,882.25,4257.5,8515.0,67.86538461538461,425.75,32.75,46.15384615384615,1149.0
2025-06,26,981.0714285714348,5753.928571428587,11507.857142857174,37.73351648351672,575.3928571428587,22.130494505494564,53.84615384615385,2130.071428571435
2025-07,23,448.0,3450.0,6900.0,19.47826086956522,345.0,15.0,56.52173913043478,2578.071428571435
2025-08,7,249.0428571428638,1468.8571428571595,2937.714285714319,35.57755102040911,146.88571428571595,20.98367346938799,57.14285714285714,2827.1142857142986
2025-09,26,773.75,5177.5,10355.0,29.759615384615383,517.75,19.91346153846154,57.692307692307686,3600.8642857142986
2025-10,24,795.952678571437,5631.508928571457,11263.017857142913,33.164694940476544,563.1508928571457,23.464620535714403,54.166666666666664,4396.816964285736
2025-11,15,396.0696428571391,3388.267857142855,6776.53571428571,26.40464285714261,338.8267857142855,22.58845238095237,66.66666666666666,4792.886607142875
2025-12,17,-406.0294642857152,-357.5982142857174,-715.1964285714348,-23.884086134453838,-35.75982142857174,-2.1035189075630436,35.294117647058826,4386.8571428571595
2026-01,26,519.1544642857152,5066.348214285717,10132.696428571435,19.967479395604432,506.63482142857174,19.485954670329683,53.84615384615385,4906.011607142875
2026-02,11,1036.25,6770.0,13540.0,94.20454545454545,677.0,61.54545454545455,54.54545454545454,5942.261607142875
2026-03,21,2379.496428571423,10523.741071428558,21047.482142857116,113.30935374149634,1052.3741071428558,50.11305272108837,66.66666666666666,8321.758035714298
2026-04,2,-42.25,52.5,105.0,-21.125,5.25,2.625,50.0,8279.508035714298
