exit_apex_session_date,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-13,1,-250.0,-25.0,-250.0,0.0,-250.0
2025-04-22,2,-607.5,-60.75,-303.75,0.0,-857.5
2025-04-27,2,827.5,82.75,413.75,100.0,-30.0
2025-04-28,2,185.0,18.5,92.5,50.0,155.0
2025-04-29,4,900.0,90.0,225.0,75.0,1055.0
2025-04-30,1,-300.0,-30.0,-300.0,0.0,755.0
2025-05-11,2,4022.5,402.25,2011.25,100.0,4777.5
2025-05-13,1,-225.0,-22.5,-225.0,0.0,4552.5
2025-05-14,2,-30.0,-3.0,-15.0,50.0,4522.5
2025-05-15,2,2.5,0.25,1.25,50.0,4525.0
2025-05-19,2,-30.0,-3.0,-15.0,50.0,4495.0
2025-05-25,4,927.5,92.75,231.875,75.0,5422.5
2025-05-26,2,-352.5,-35.25,-176.25,0.0,5070.0
2025-05-27,2,247.5,24.75,123.75,50.0,5317.5
2025-05-28,2,-47.5,-4.75,-23.75,50.0,5270.0
2025-06-01,2,-515.0,-51.5,-257.5,0.0,4755.0
2025-06-02,2,2810.0,281.0,1405.0,100.0,7565.0
2025-06-04,1,-357.5,-35.75,-357.5,0.0,7207.5
2025-06-08,2,202.5,20.25,101.25,50.0,7410.0
2025-06-10,3,-12.5,-1.25,-4.166666666666667,33.33333333333333,7397.5
2025-06-11,1,-265.0,-26.5,-265.0,0.0,7132.5
2025-06-15,2,1262.5,126.25,631.25,100.0,8395.0
2025-06-17,2,1025.0,102.5,512.5,100.0,9420.0
2025-06-19,2,-37.5,-3.75,-18.75,50.0,9382.5
2025-06-22,2,310.0,31.0,155.0,50.0,9692.5
2025-06-24,2,227.5,22.75,113.75,50.0,9920.0
2025-06-25,4,377.678571428587,37.7678571428587,94.41964285714675,50.0,10297.678571428587
2025-06-26,2,942.5,94.25,471.25,100.0,11240.178571428587
2025-06-29,1,-261.25,-26.125,-261.25,0.0,10978.928571428587
2025-07-02,2,-50.0,-5.0,-25.0,50.0,10928.928571428587
2025-07-06,2,-57.5,-5.75,-28.75,50.0,10871.428571428587
2025-07-07,2,197.5,19.75,98.75,50.0,11068.928571428587
2025-07-09,2,217.5,21.75,108.75,50.0,11286.428571428587
2025-07-14,2,932.5,93.25,466.25,100.0,12218.928571428587
2025-07-16,2,2037.5,203.75,1018.75,100.0,14256.428571428587
2025-07-20,2,-57.5,-5.75,-28.75,50.0,14198.928571428587
2025-07-21,1,-245.0,-24.5,-245.0,0.0,13953.928571428587
2025-07-22,2,-17.5,-1.75,-8.75,50.0,13936.428571428587
2025-07-23,1,-255.0,-25.5,-255.0,0.0,13681.428571428587
2025-07-27,2,472.5,47.25,236.25,100.0,14153.928571428587
2025-07-28,2,987.5,98.75,493.75,100.0,15141.428571428587
2025-07-30,2,-42.5,-4.25,-21.25,50.0,15098.928571428587
2025-08-06,2,965.0,96.5,482.5,100.0,16063.928571428587
2025-08-10,1,-252.5,-25.25,-252.5,0.0,15811.428571428587
2025-08-12,2,957.5,95.75,478.75,100.0,16768.928571428587
2025-08-14,1,-257.5,-25.75,-257.5,0.0,16511.428571428587
2025-08-25,1,-306.1428571428405,-30.61428571428405,-306.1428571428405,0.0,16205.285714285747
2025-08-31,2,370.0,37.0,185.0,100.0,16575.285714285747
2025-09-01,2,287.5,28.75,143.75,50.0,16862.785714285747
2025-09-04,2,-45.0,-4.5,-22.5,50.0,16817.785714285747
2025-09-07,2,745.0,74.5,372.5,100.0,17562.785714285747
2025-09-08,2,207.5,20.75,103.75,50.0,17770.285714285747
2025-09-09,3,-2.5,-0.25,-0.8333333333333334,33.33333333333333,17767.785714285747
2025-09-10,2,-50.0,-5.0,-25.0,50.0,17717.785714285747
2025-09-11,1,212.5,21.25,212.5,100.0,17930.285714285747
2025-09-13,1,907.5,90.75,907.5,100.0,18837.785714285747
2025-09-14,2,2000.0,200.0,1000.0,100.0,20837.785714285747
2025-09-15,1,-217.5,-21.75,-217.5,0.0,20620.285714285747
2025-09-17,1,-307.5,-30.75,-307.5,0.0,20312.785714285747
2025-09-18,2,200.0,20.0,100.0,50.0,20512.785714285747
2025-09-21,1,57.5,5.75,57.5,100.0,20570.285714285747
2025-09-25,1,-302.5,-30.25,-302.5,0.0,20267.785714285747
2025-09-28,2,940.0,94.0,470.0,100.0,21207.785714285747
2025-10-01,3,705.0,70.5,235.0,66.66666666666666,21912.785714285747
2025-10-02,2,-466.31249999998545,-46.631249999998545,-233.15624999999272,0.0,21446.47321428576
2025-10-06,2,215.0,21.5,107.5,50.0,21661.47321428576
2025-10-07,2,237.5,23.75,118.75,100.0,21898.97321428576
2025-10-09,2,227.5,22.75,113.75,50.0,22126.47321428576
2025-10-16,2,267.5,26.75,133.75,50.0,22393.97321428576
2025-10-20,1,-242.5,-24.25,-242.5,0.0,22151.47321428576
2025-10-21,1,-270.0,-27.0,-270.0,0.0,21881.47321428576
2025-10-23,2,197.5,19.75,98.75,50.0,22078.97321428576
2025-10-26,2,952.5,95.25,476.25,100.0,23031.47321428576
2025-10-27,2,2072.5,207.25,1036.25,100.0,25103.97321428576
2025-10-28,2,222.5,22.25,111.25,50.0,25326.47321428576
2025-10-30,3,-7.178571428557916,-0.7178571428557916,-2.392857142852639,33.33333333333333,25319.294642857203
2025-11-02,2,202.5,20.25,101.25,50.0,25521.794642857203
2025-11-06,2,950.0,95.0,475.0,100.0,26471.794642857203
2025-11-12,2,31.062500000007276,3.1062500000007276,15.531250000003638,50.0,26502.85714285721
2025-11-13,2,345.0,34.5,172.5,50.0,26847.85714285721
2025-11-16,1,-262.9196428571595,-26.29196428571595,-262.9196428571595,0.0,26584.93750000005
2025-11-17,2,750.0,75.0,375.0,100.0,27334.93750000005
2025-11-25,2,37.625000000007276,3.7625000000007276,18.812500000003638,50.0,27372.56250000006
2025-11-26,1,215.0,21.5,215.0,100.0,27587.56250000006
2025-11-27,1,310.0,31.0,310.0,100.0,27897.56250000006
2025-11-30,2,597.5,59.75,298.75,100.0,28495.06250000006
2025-12-01,5,297.5,29.75,59.5,60.0,28792.56250000006
2025-12-02,2,-40.0,-4.0,-20.0,50.0,28752.56250000006
2025-12-03,2,547.5,54.75,273.75,100.0,29300.06250000006
