exit_month_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,win_rate_pct,trading_days,green_days,red_days,worst_day_dollars,best_day_dollars,avg_day_dollars,soft_loss_cap_breach_days,cumulative_pnl_dollars,account_balance_est,month_green,strong_month_flag,equity_peak_est,drawdown_from_peak_dollars
2025-04,11,90.5,122.25,8.227272727272727,11.113636363636363,54.54545454545454,5,3,3,-303.75,269.0,-4.916666666666667,0,90.5,50090.5,True,False,50090.5,0.0
2025-05,16,855.25,436.5,53.453125,27.28125,50.0,9,3,5,-132.0,1160.25,121.90625,0,945.75,50945.75,True,False,50945.75,0.0
2025-06,26,1071.3214285714348,587.1428571428587,41.20467032967057,22.58241758241764,53.84615384615385,14,8,6,-206.0,799.25,76.52295918367392,0,2017.0714285714348,52017.071428571435,True,False,52017.071428571435,0.0
2025-07,23,579.5,375.0,25.195652173913043,16.304347826086957,56.52173913043478,13,6,7,-102.0,572.25,44.57692307692308,0,2596.571428571435,52596.571428571435,True,False,52596.571428571435,0.0
2025-08,7,203.5428571428638,126.38571428571595,29.077551020409114,18.055102040816564,57.14285714285714,5,3,3,-122.4571428571362,267.0,46.63214285714397,0,2800.1142857142986,52800.1142857143,True,False,52800.1142857143,0.0
2025-09,27,776.5,508.75,28.75925925925926,18.84259259259259,59.25925925925925,16,7,8,-123.0,560.75,46.68333333333333,0,3576.6142857142986,53576.6142857143,True,False,53576.6142857143,0.0
2025-10,24,558.952678571437,431.40089285714566,23.28969494047654,17.97503720238107,50.0,12,8,4,-139.89374999999563,396.5,46.57938988095308,0,4135.566964285736,54135.56696428574,True,False,54135.56696428574,0.0
2025-11,15,373.5696428571391,322.5767857142855,24.90464285714261,21.505119047619033,66.66666666666666,9,6,3,-105.1678571428638,197.25,41.50773809523768,0,4509.136607142875,54509.13660714288,True,False,54509.13660714288,0.0
2025-12,17,-419.0294642857152,-48.75982142857174,-24.648792016806777,-2.8682247899159847,35.294117647058826,9,3,6,-230.27946428571522,92.0,-46.55882936507947,0,4090.1071428571595,54090.10714285716,False,False,54509.13660714288,-419.02946428571886
2026-01,26,491.1544642857152,478.63482142857174,18.890556318681355,18.409031593406606,53.84615384615385,12,7,5,-118.84553571428478,460.0,40.92953869047627,0,4581.261607142875,54581.26160714288,True,False,54581.26160714288,0.0
2026-02,11,1037.25,678.0,94.29545454545455,61.63636363636363,54.54545454545454,7,3,4,-123.0,822.75,148.17857142857142,0,5618.511607142875,55618.51160714288,True,False,55618.51160714288,0.0
2026-03,20,2425.421428571426,1024.7303571428565,121.2710714285713,51.23651785714283,70.0,10,7,3,-273.0,1673.25,242.5421428571426,0,8043.933035714301,58043.933035714304,True,False,58043.933035714304,0.0
2026-04,2,29.0,29.0,14.5,14.5,50.0,1,1,0,29.0,29.0,29.0,0,8072.933035714301,58072.933035714304,True,False,58072.933035714304,0.0
