exit_month_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,win_rate_pct,trading_days,green_days,red_days,worst_day_dollars,best_day_dollars,avg_day_dollars,soft_loss_cap_breach_days,cumulative_pnl_dollars,account_balance_est,month_green,strong_month_flag,equity_peak_est,drawdown_from_peak_dollars
2025-04,11,-20.25,82.0,-1.8409090909090908,7.454545454545454,54.54545454545454,5,3,3,-303.75,262.75,-23.375,0,-20.25,49979.75,False,False,49979.75,0.0
2025-05,19,431.0,299.75,22.68421052631579,15.776315789473685,42.10526315789473,10,2,7,-141.0,1030.25,61.22222222222222,0,410.75,50410.75,True,False,50410.75,0.0
2025-06,27,945.5714285714348,528.1428571428587,35.02116402116425,19.560846560846617,51.85185185185185,14,7,7,-206.0,799.0,67.54081632653106,0,1356.3214285714348,51356.321428571435,True,False,51356.321428571435,0.0
2025-07,25,27.5,186.25,1.1,7.45,52.0,13,4,9,-197.0,568.75,2.1153846153846154,0,1383.8214285714348,51383.821428571435,True,False,51383.821428571435,0.0
2025-08,7,55.542857142863795,74.88571428571595,7.934693877551971,10.697959183673706,42.857142857142854,5,3,3,-122.4571428571362,359.5,21.3404761904773,0,1439.3642857142986,51439.3642857143,True,False,51439.3642857143,0.0
2025-09,27,941.75,514.0,34.879629629629626,19.037037037037038,62.96296296296296,16,8,7,-123.0,555.5,57.95,0,2381.1142857142986,52381.1142857143,True,False,52381.1142857143,0.0
2025-10,25,823.8214285714348,602.3571428571449,32.95285714285739,24.094285714285796,60.0,13,8,5,-139.89374999999563,417.0,63.3708791208796,0,3204.9357142857334,53204.93571428573,True,False,53204.93571428573,0.0
2025-11,15,377.5696428571391,295.3267857142855,25.171309523809274,19.688452380952366,66.66666666666666,9,7,3,-105.1678571428638,243.75,46.03196428571391,0,3582.5053571428725,53582.50535714287,True,False,53582.50535714287,0.0
2025-12,25,-93.27946428571522,132.49017857142826,-3.7311785714286088,5.2996071428571305,56.00000000000001,12,4,7,-230.27946428571522,142.5,-16.002678571428657,0,3489.2258928571573,53489.225892857154,False,False,53582.50535714287,-93.27946428571886
2026-01,28,575.4044642857152,514.6348214285717,20.550159438775545,18.37981505102042,57.14285714285714,12,7,5,-118.84553571428478,449.5,47.9503720238096,0,4064.6303571428725,54064.63035714287,True,False,54064.63035714287,0.0
2026-02,11,1027.25,668.0,93.38636363636364,60.72727272727273,54.54545454545454,7,3,4,-123.0,812.75,146.75,0,5091.8803571428725,55091.88035714287,True,False,55091.88035714287,0.0
2026-03,23,2828.496428571423,1164.3741071428558,122.97810559006187,50.62496118012417,69.56521739130434,10,7,3,-328.0,1755.25,282.8496428571423,0,7920.376785714296,57920.376785714296,True,False,57920.376785714296,0.0
2026-04,2,-49.5,-2.0,-24.75,-1.0,50.0,1,0,1,-49.5,-49.5,-49.5,0,7870.876785714296,57870.876785714296,False,False,57920.376785714296,-49.5
