calendar_exit_date_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-13,1,-125.0,-25.0,-125.0,0.0,-125.0
2025-04-22,1,-136.25,-27.25,-136.25,0.0,-261.25
2025-04-23,1,-167.5,-33.5,-167.5,0.0,-428.75
2025-04-28,3,281.25,101.25,93.75,100.0,-147.5
2025-04-29,2,25.25,25.25,12.625,50.0,-122.25
2025-04-30,3,196.0,64.75,65.33333333333333,66.66666666666666,73.75
2025-05-01,1,-120.0,-30.0,-120.0,0.0,-46.25
2025-05-11,1,23.25,23.25,23.25,100.0,-23.0
2025-05-12,1,1137.0,379.0,1137.0,100.0,1114.0
2025-05-14,1,-90.0,-22.5,-90.0,0.0,1024.0
2025-05-15,2,-59.0,-3.0,-29.5,50.0,965.0
2025-05-16,2,-60.25,0.25,-30.125,50.0,904.75
2025-05-20,2,-48.5,-3.0,-24.25,50.0,856.25
2025-05-25,1,30.75,30.75,30.75,100.0,887.0
2025-05-26,3,149.5,62.0,49.833333333333336,66.66666666666666,1036.5
2025-05-27,2,-141.0,-35.25,-70.5,0.0,895.5
2025-05-28,4,-29.5,20.0,-7.375,50.0,866.0
2025-06-02,2,-206.0,-51.5,-103.0,0.0,660.0
2025-06-03,2,799.0,281.0,399.5,100.0,1459.0
2025-06-05,1,-143.0,-35.75,-143.0,0.0,1316.0
2025-06-08,1,20.25,20.25,20.25,100.0,1336.25
2025-06-09,1,0.0,0.0,0.0,0.0,1336.25
2025-06-10,1,18.5,18.5,18.5,100.0,1354.75
2025-06-11,2,-79.0,-19.75,-39.5,0.0,1275.75
2025-06-12,1,-106.0,-26.5,-106.0,0.0,1169.75
2025-06-15,1,21.5,21.5,21.5,100.0,1191.25
2025-06-16,1,314.25,104.75,314.25,100.0,1505.5
2025-06-17,1,28.0,28.0,28.0,100.0,1533.5
2025-06-18,1,223.5,74.5,223.5,100.0,1757.0
2025-06-19,1,21.0,21.0,21.0,100.0,1778.0
2025-06-20,1,-74.25,-24.75,-74.25,0.0,1703.75
2025-06-23,2,31.0,31.0,15.5,50.0,1734.75
