calendar_exit_date_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-06-25,3,41.75,41.75,13.916666666666666,66.66666666666666,1776.5
2025-06-26,4,17.071428571434808,38.0178571428587,4.267857142858702,50.0,1793.5714285714348
2025-06-27,1,225.0,75.0,225.0,100.0,2018.5714285714348
2025-06-30,1,-104.5,-26.125,-104.5,0.0,1914.0714285714348
2025-07-02,1,18.75,18.75,18.75,100.0,1932.8214285714348
2025-07-03,1,-71.25,-23.75,-71.25,0.0,1861.5714285714348
2025-07-07,3,-35.5,14.0,-11.833333333333334,66.66666666666666,1826.0714285714348
2025-07-08,1,0.0,0.0,0.0,0.0,1826.0714285714348
2025-07-10,2,21.75,21.75,10.875,50.0,1847.8214285714348
2025-07-14,1,19.5,19.5,19.5,100.0,1867.3214285714348
2025-07-15,1,221.25,73.75,221.25,100.0,2088.571428571435
2025-07-16,1,21.25,21.25,21.25,100.0,2109.821428571435
2025-07-17,1,547.5,182.5,547.5,100.0,2657.321428571435
2025-07-20,1,19.0,19.0,19.0,100.0,2676.321428571435
2025-07-21,1,-74.25,-24.75,-74.25,0.0,2602.071428571435
2025-07-22,2,-77.0,-3.5,-38.5,50.0,2525.071428571435
2025-07-23,2,-170.25,-48.25,-85.125,0.0,2354.821428571435
2025-07-28,3,116.0,70.0,38.666666666666664,100.0,2470.821428571435
2025-07-29,1,228.0,76.0,228.0,100.0,2698.821428571435
2025-07-30,1,21.75,21.75,21.75,100.0,2720.571428571435
2025-07-31,1,-78.0,-26.0,-78.0,0.0,2642.571428571435
2025-08-06,1,21.25,21.25,21.25,100.0,2663.821428571435
2025-08-07,1,225.75,75.25,225.75,100.0,2889.571428571435
2025-08-11,1,-101.0,-25.25,-101.0,0.0,2788.571428571435
2025-08-12,1,22.5,22.5,22.5,100.0,2811.071428571435
2025-08-13,1,219.75,73.25,219.75,100.0,3030.821428571435
2025-08-15,1,-103.0,-25.75,-103.0,0.0,2927.821428571435
2025-08-26,1,-122.4571428571362,-30.61428571428405,-122.4571428571362,0.0,2805.3642857142986
2025-09-01,2,72.5,37.0,36.25,100.0,2877.8642857142986
2025-09-02,2,28.75,28.75,14.375,50.0,2906.6142857142986
2025-09-05,2,-64.5,-4.5,-32.25,50.0,2842.1142857142986
2025-09-07,1,19.5,19.5,19.5,100.0,2861.6142857142986
2025-09-08,2,185.75,75.75,92.875,100.0,3047.3642857142986
2025-09-09,1,0.0,0.0,0.0,0.0,3047.3642857142986
2025-09-10,3,-85.0,-0.25,-28.333333333333332,33.33333333333333,2962.3642857142986
2025-09-11,2,-53.5,-5.0,-26.75,50.0,2908.8642857142986
2025-09-12,1,21.25,21.25,21.25,100.0,2930.1142857142986
2025-09-14,1,272.25,90.75,272.25,100.0,3202.3642857142986
2025-09-15,2,555.5,200.0,277.75,100.0,3757.8642857142986
2025-09-16,1,-87.0,-21.75,-87.0,0.0,3670.8642857142986
2025-09-18,1,-123.0,-30.75,-123.0,0.0,3547.8642857142986
2025-09-19,2,20.0,20.0,10.0,50.0,3567.8642857142986
2025-09-22,1,23.0,5.75,23.0,100.0,3590.8642857142986
2025-09-26,1,-121.0,-30.25,-121.0,0.0,3469.8642857142986
2025-09-28,1,23.0,23.0,23.0,100.0,3492.8642857142986
2025-09-29,1,213.0,71.0,213.0,100.0,3705.8642857142986
2025-10-02,4,86.0,46.0,21.5,50.0,3791.8642857142986
2025-10-03,1,-66.39374999999563,-22.131249999998545,-66.39374999999563,0.0,3725.470535714303
2025-10-07,2,21.5,21.5,10.75,50.0,3746.970535714303
2025-10-08,2,24.0,23.75,12.0,100.0,3770.970535714303
2025-10-10,2,22.75,22.75,11.375,50.0,3793.720535714303
2025-10-17,2,26.75,26.75,13.375,50.0,3820.470535714303
2025-10-21,2,-153.75,-51.25,-76.875,0.0,3666.720535714303
2025-10-23,1,19.75,19.75,19.75,100.0,3686.470535714303
2025-10-24,1,0.0,0.0,0.0,0.0,3686.470535714303
2025-10-26,1,19.5,19.5,19.5,100.0,3705.970535714303
2025-10-27,1,151.5,75.75,151.5,100.0,3857.470535714303
2025-10-28,3,416.75,229.5,138.91666666666666,100.0,4274.220535714303
2025-10-29,1,0.0,0.0,0.0,0.0,4274.220535714303
2025-10-30,1,-71.15357142856737,-23.71785714285579,-71.15357142856737,0.0,4203.066964285736
2025-10-31,2,23.0,23.0,11.5,50.0,4226.066964285736
2025-11-03,2,20.25,20.25,10.125,50.0,4246.316964285736
2025-11-07,2,168.75,95.0,84.375,100.0,4415.066964285736
2025-11-13,2,-13.537499999998545,3.1062500000007276,-6.768749999999272,50.0,4401.529464285737
2025-11-14,2,34.5,34.5,17.25,50.0,4436.029464285737
2025-11-17,1,-105.1678571428638,-26.29196428571595,-105.1678571428638,0.0,4330.861607142873
2025-11-18,2,145.0,75.0,72.5,100.0,4475.861607142873
2025-11-26,2,-30.724999999998545,3.7625000000007276,-15.362499999999272,50.0,4445.136607142875
2025-11-27,1,21.5,21.5,21.5,100.0,4466.636607142875
2025-11-28,1,62.0,31.0,62.0,100.0,4528.636607142875
2025-12-01,3,-11.75,28.25,-3.9166666666666665,66.66666666666666,4516.886607142875
2025-12-02,6,52.0,57.25,8.666666666666666,66.66666666666666,4568.886607142875
2025-12-04,3,107.0,75.0,35.666666666666664,100.0,4675.886607142875
2025-12-05,1,-53.0,-26.5,-53.0,0.0,4622.886607142875
2025-12-08,3,-230.27946428571522,-76.75982142857174,-76.75982142857174,0.0,4392.6071428571595
2025-12-09,1,18.5,18.5,18.5,100.0,4411.1071428571595
2025-12-10,1,-50.5,-25.25,-50.5,0.0,4360.6071428571595
2025-12-22,2,20.5,20.5,10.25,50.0,4381.1071428571595
2025-12-23,1,-73.5,-24.5,-73.5,0.0,4307.6071428571595
2025-12-24,2,171.5,96.0,85.75,100.0,4479.1071428571595
2025-12-26,2,22.25,22.25,11.125,50.0,4501.3571428571595
2026-01-01,1,27.75,27.75,27.75,100.0,4529.1071428571595
2026-01-02,1,-63.0,-31.5,-63.0,0.0,4466.1071428571595
2026-01-05,1,-87.0,-29.0,-87.0,0.0,4379.1071428571595
2026-01-07,2,122.25,70.75,61.125,100.0,4501.3571428571595
2026-01-09,2,23.5,23.5,11.75,50.0,4524.8571428571595
2026-01-13,2,92.5,92.5,46.25,50.0,4617.3571428571595
2026-01-14,1,21.5,21.5,21.5,100.0,4638.8571428571595
2026-01-15,3,-30.5,-5.25,-10.166666666666666,33.33333333333333,4608.3571428571595
2026-01-19,1,24.25,24.25,24.25,100.0,4632.6071428571595
2026-01-20,1,0.0,0.0,0.0,0.0,4632.6071428571595
2026-01-25,2,-23.0,-1.5,-11.5,50.0,4609.6071428571595
2026-01-26,2,472.5,266.75,236.25,100.0,5082.1071428571595
2026-01-27,5,45.40446428571522,59.88482142857174,9.080892857143045,60.0,5127.511607142875
2026-01-28,4,-50.75,-5.0,-12.6875,50.0,5076.761607142875
2026-02-04,2,812.75,422.25,406.375,100.0,5889.511607142875
2026-02-10,2,25.75,25.75,12.875,50.0,5915.261607142875
2026-02-17,2,30.0,30.0,15.0,50.0,5945.261607142875
2026-02-20,1,-100.0,-25.0,-100.0,0.0,5845.261607142875
2026-02-23,1,-123.0,-30.75,-123.0,0.0,5722.261607142875
2026-02-25,2,545.25,300.25,272.625,100.0,6267.511607142875
2026-02-26,1,-74.25,-24.75,-74.25,0.0,6193.261607142875
2026-03-02,1,-115.07857142857392,-28.76964285714348,-115.07857142857392,0.0,6078.183035714301
2026-03-05,2,34.5,31.5,17.25,100.0,6112.683035714301
2026-03-12,1,18.75,18.75,18.75,100.0,6131.433035714301
2026-03-13,2,369.5749999999971,134.14374999999927,184.78749999999854,50.0,6501.008035714298
2026-03-16,1,-113.0,-28.25,-113.0,0.0,6388.008035714298
2026-03-18,3,-211.0,-41.0,-70.33333333333333,33.33333333333333,6177.008035714298
2026-03-19,1,-117.0,-29.25,-117.0,0.0,6060.008035714298
2026-03-20,2,404.0,162.0,202.0,100.0,6464.008035714298
2026-03-22,1,23.5,23.5,23.5,100.0,6487.508035714298
2026-03-23,1,0.0,0.0,0.0,0.0,6487.508035714298
2026-03-25,2,18.75,18.75,9.375,50.0,6506.258035714298
2026-03-26,1,20.5,20.5,20.5,100.0,6526.758035714298
2026-03-27,3,1622.25,567.75,540.75,100.0,8149.008035714298
2026-03-30,2,212.75,94.75,106.375,100.0,8361.758035714298
2026-04-01,2,21.75,21.75,10.875,50.0,8383.508035714298
