exit_apex_session_date,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-10-06,2,154.5,25.75,77.25,50.0,154.5
2025-10-16,2,345.0,57.5,172.5,50.0,499.5
2025-10-22,1,-162.0,-27.0,-162.0,0.0,337.5
2025-10-23,2,3700.0,231.25,1850.0,100.0,4037.5
2025-10-26,3,204.0,12.75,68.0,33.33333333333333,4241.5
2025-10-28,1,-443.2999999999883,-27.706249999999272,-443.2999999999883,0.0,3798.2000000000116
2025-10-29,2,214.5,35.75,107.25,50.0,4012.7000000000116
2025-10-30,3,256.9089285714217,-10.515178571429715,85.63630952380724,33.33333333333333,4269.608928571433
2025-11-02,1,-168.0,-28.0,-168.0,0.0,4101.608928571433
2025-11-06,2,10355.0,517.75,5177.5,100.0,14456.608928571433
2025-11-13,2,2265.0,113.25,1132.5,50.0,16721.608928571433
2025-12-01,2,764.0,47.75,382.0,50.0,17485.608928571433
2025-12-07,2,156.0,26.0,78.0,50.0,17641.608928571433
2025-12-09,2,189.0,31.5,94.5,50.0,17830.608928571433
2025-12-14,1,717.5,51.25,717.5,100.0,18548.108928571433
2025-12-15,1,3927.0,280.5,3927.0,100.0,22475.108928571433
2025-12-21,2,148.5,24.75,74.25,50.0,22623.608928571433
2026-01-01,2,832.5,138.75,416.25,100.0,23456.108928571433
2026-01-15,2,157.5,26.25,78.75,50.0,23613.608928571433
2026-01-19,3,938.0,64.75,312.6666666666667,66.66666666666666,24551.608928571433
2026-01-20,1,0.0,0.0,0.0,0.0,24551.608928571433
2026-01-25,3,-81.0,-13.5,-27.0,33.33333333333333,24470.608928571433
2026-01-26,2,392.0,24.5,196.0,50.0,24862.608928571433
2026-01-28,2,213.0,35.5,106.5,50.0,25075.608928571433
2026-02-01,2,1480.5,246.75,740.25,100.0,26556.108928571433
2026-02-10,2,153.0,25.5,76.5,50.0,26709.108928571433
2026-02-22,3,-1078.5,-97.5,-359.5,0.0,25630.608928571433
2026-02-23,2,840.0,42.0,420.0,50.0,26470.608928571433
2026-02-24,2,5072.0,317.0,2536.0,100.0,31542.608928571433
2026-02-25,2,-797.5,-49.84375,-398.75,0.0,30745.108928571433
2026-03-02,2,920.0,46.0,460.0,50.0,31665.108928571433
2026-03-03,3,207.0,34.5,69.0,33.33333333333333,31872.108928571433
2026-03-05,1,-139.5,-23.25,-139.5,0.0,31732.608928571433
2026-03-10,2,166.5,27.75,83.25,50.0,31899.108928571433
2026-03-15,1,-196.1785714285652,-32.69642857142753,-196.1785714285652,0.0,31702.930357142868
2026-03-18,1,-530.0,-26.5,-530.0,0.0,31172.930357142868
2026-03-25,4,9310.0,556.5,2327.5,75.0,40482.93035714287
2026-03-26,2,9840.0,492.0,4920.0,100.0,50322.93035714287
2026-03-29,2,358.0,44.75,179.0,50.0,50680.93035714287
2026-04-01,2,471.0,78.5,235.5,50.0,51151.93035714287
2026-04-05,1,-256.6767857142913,-42.77946428571522,-256.6767857142913,0.0,50895.25357142858
