calendar_exit_date_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-13,1,-260.0,-26.0,-260.0,0.0,-260.0
2025-04-14,2,415.0,41.5,207.5,50.0,155.0
2025-04-23,1,-357.5,-35.75,-357.5,0.0,-202.5
2025-04-24,3,-147.5,-14.75,-49.166666666666664,33.33333333333333,-350.0
2025-04-25,1,847.5,84.75,847.5,100.0,497.5
2025-04-29,3,-87.5,-8.75,-29.166666666666668,33.33333333333333,410.0
2025-04-30,2,252.5,25.25,126.25,50.0,662.5
2025-05-01,1,-277.5,-27.75,-277.5,0.0,385.0
2025-05-02,2,-595.0,-59.5,-297.5,0.0,-210.0
2025-05-08,3,20.0,2.0,6.666666666666667,33.33333333333333,-190.0
2025-05-11,1,285.0,28.5,285.0,100.0,95.0
2025-05-12,3,6475.0,647.5,2158.3333333333335,100.0,6570.0
2025-05-14,1,-315.0,-31.5,-315.0,0.0,6255.0
2025-05-26,2,912.5,91.25,456.25,100.0,7167.5
2025-05-27,3,-857.5,-85.75,-285.8333333333333,0.0,6310.0
2025-05-29,1,-255.0,-25.5,-255.0,0.0,6055.0
2025-06-04,2,367.5,36.75,183.75,50.0,6422.5
2025-06-05,1,-357.5,-35.75,-357.5,0.0,6065.0
2025-06-09,2,270.0,27.0,135.0,50.0,6335.0
2025-06-16,2,325.0,32.5,162.5,50.0,6660.0
2025-06-18,2,280.0,28.0,140.0,50.0,6940.0
2025-06-20,4,312.5,31.25,78.125,50.0,7252.5
2025-06-24,1,-257.5,-25.75,-257.5,0.0,6995.0
2025-06-25,4,892.5,89.25,223.125,75.0,7887.5
2025-06-26,4,351.0625000000073,35.10625000000073,87.76562500000182,50.0,8238.562500000007
2025-06-27,4,990.0,99.0,247.5,75.0,9228.562500000007
2025-06-29,1,270.0,27.0,270.0,100.0,9498.562500000007
2025-06-30,1,500.0,50.0,500.0,100.0,9998.562500000007
2025-07-02,2,-45.0,-4.5,-22.5,50.0,9953.562500000007
2025-07-03,1,500.0,50.0,500.0,100.0,10453.562500000007
2025-07-08,1,-252.5,-25.25,-252.5,0.0,10201.062500000007
2025-07-09,2,545.0,54.5,272.5,100.0,10746.062500000007
2025-07-10,2,320.0,32.0,160.0,50.0,11066.062500000007
2025-07-15,2,262.5,26.25,131.25,50.0,11328.562500000007
2025-07-16,1,-100.0,-10.0,-100.0,0.0,11228.562500000007
2025-07-17,2,2517.5,251.75,1258.75,100.0,13746.062500000007
2025-07-20,1,-240.0,-24.0,-240.0,0.0,13506.062500000007
2025-07-21,2,275.0,27.5,137.5,50.0,13781.062500000007
2025-07-23,4,-527.5,-52.75,-131.875,25.0,13253.562500000007
