exit_date_et,trades,pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,month_et,is_green_day,is_red_day,soft_loss_cap_breached
2025-10-07,2,257.5,25.75,128.75,50.0,2025-10,True,False,False
2025-10-09,1,-255.0,-25.5,-255.0,0.0,2025-10,False,True,False
2025-10-17,2,360.0,36.0,180.0,50.0,2025-10,True,False,False
2025-10-21,1,-295.14285714285506,-29.514285714285506,-295.14285714285506,0.0,2025-10,False,True,False
2025-10-22,1,-270.0,-27.0,-270.0,0.0,2025-10,False,True,False
2025-10-24,4,3070.0,307.0,767.5,100.0,2025-10,True,False,False
2025-10-26,1,295.0,29.5,295.0,100.0,2025-10,True,False,False
2025-10-27,4,1185.0,118.5,296.25,75.0,2025-10,True,False,False
2025-10-28,3,305.0,30.5,101.66666666666667,66.66666666666666,2025-10,True,False,False
2025-10-29,4,-59.562499999992724,-5.956249999999272,-14.890624999998181,25.0,2025-10,False,True,False
2025-10-30,2,-537.5,-53.75,-268.75,0.0,2025-10,False,True,False
2025-10-31,2,-499.6785714285579,-49.96785714285579,-249.83928571427896,0.0,2025-10,False,True,False
2025-11-02,1,-280.0,-28.0,-280.0,0.0,2025-11,False,True,False
2025-11-06,1,-187.5,-18.75,-187.5,0.0,2025-11,False,True,False
2025-11-07,2,4750.0,475.0,2375.0,100.0,2025-11,True,False,False
2025-11-11,2,397.5,39.75,198.75,50.0,2025-11,True,False,False
2025-11-12,2,22.5,2.25,11.25,50.0,2025-11,True,False,False
2025-11-13,1,280.0,28.0,280.0,100.0,2025-11,True,False,False
2025-11-14,1,477.5,47.75,477.5,100.0,2025-11,True,False,False
2025-11-17,2,550.0,55.0,275.0,50.0,2025-11,True,False,False
2025-11-27,2,-522.5,-52.25,-261.25,0.0,2025-11,False,True,False
2025-12-03,2,-453.08035714286234,-45.308035714286234,-226.54017857143117,0.0,2025-12,False,True,False
2025-12-04,1,325.0,32.5,325.0,100.0,2025-12,True,False,False
2025-12-05,1,590.0,59.0,590.0,100.0,2025-12,True,False,False
2025-12-08,2,260.0,26.0,130.0,50.0,2025-12,True,False,False
2025-12-10,2,315.0,31.5,157.5,50.0,2025-12,True,False,False
2025-12-16,1,-397.5,-39.75,-397.5,0.0,2025-12,False,True,False
2025-12-17,1,-425.0,-42.5,-425.0,0.0,2025-12,False,True,False
2025-12-22,3,25.0,2.5,8.333333333333334,33.33333333333333,2025-12,True,False,False
2026-01-01,1,270.0,27.0,270.0,100.0,2026-01,True,False,False
2026-01-02,2,850.0,85.0,425.0,50.0,2026-01,True,False,False
2026-01-06,1,262.5,26.25,262.5,100.0,2026-01,True,False,False
2026-01-07,1,-272.5,-27.25,-272.5,0.0,2026-01,False,True,False
2026-01-13,2,277.5,27.75,138.75,50.0,2026-01,True,False,False
2026-01-16,2,262.5,26.25,131.25,50.0,2026-01,True,False,False
2026-01-19,2,-591.6428571428696,-59.16428571428696,-295.8214285714348,0.0,2026-01,False,True,False
2026-01-20,4,647.5,64.75,161.875,50.0,2026-01,True,False,False
2026-01-25,1,-415.0,-41.5,-415.0,0.0,2026-01,False,True,False
2026-01-26,3,605.0,60.5,201.66666666666666,66.66666666666666,2026-01,True,False,False
2026-01-27,4,867.5,86.75,216.875,50.0,2026-01,True,False,False
2026-01-28,3,548.8482142857174,54.88482142857174,182.9494047619058,66.66666666666666,2026-01,True,False,False
2026-01-29,1,0.0,0.0,0.0,0.0,2026-01,False,False,False
2026-02-03,2,-580.0,-58.0,-290.0,0.0,2026-02,False,True,False
2026-02-11,2,255.0,25.5,127.5,50.0,2026-02,True,False,False
2026-02-17,2,365.0,36.5,182.5,50.0,2026-02,True,False,False
2026-02-22,1,-335.0,-33.5,-335.0,0.0,2026-02,False,True,False
2026-02-23,2,-640.0,-64.0,-320.0,0.0,2026-02,False,True,False
2026-02-24,1,-307.5,-30.75,-307.5,0.0,2026-02,False,True,False
2026-02-25,2,3170.0,317.0,1585.0,100.0,2026-02,True,False,False
2026-02-26,2,-498.4375,-49.84375,-249.21875,0.0,2026-02,False,True,False
2026-03-02,2,337.5,33.75,168.75,50.0,2026-03,True,False,False
2026-03-05,1,-232.5,-23.25,-232.5,0.0,2026-03,False,True,False
2026-03-10,1,277.5,27.75,277.5,100.0,2026-03,True,False,False
2026-03-11,1,0.0,0.0,0.0,0.0,2026-03,False,False,False
2026-03-13,3,-78.56250000000728,-7.856250000000728,-26.187500000002427,33.33333333333333,2026-03,False,True,False
2026-03-19,1,-292.5,-29.25,-292.5,0.0,2026-03,False,True,False
2026-03-20,1,300.0,30.0,300.0,100.0,2026-03,True,False,False
2026-03-26,2,655.0,65.5,327.5,50.0,2026-03,True,False,False
2026-03-27,3,4710.0,471.0,1570.0,66.66666666666666,2026-03,True,False,False
2026-04-02,2,332.5,33.25,166.25,50.0,2026-04,True,False,False
