calendar_exit_date_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-13,1,-250.0,-25.0,-250.0,0.0,-250.0
2025-04-14,1,-259.70982142856883,-51.941964285713766,-259.70982142856883,0.0,-509.70982142856883
2025-04-16,1,-248.5044642857065,-49.7008928571413,-248.5044642857065,0.0,-758.2142857142753
2025-04-17,1,-204.1294642857065,-40.8258928571413,-204.1294642857065,0.0,-962.3437499999818
2025-04-22,3,2379.5,667.25,793.1666666666666,66.66666666666666,1417.1562500000182
2025-04-23,2,620.4392857143248,176.8598214285812,310.2196428571624,100.0,2037.595535714343
