side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,prop_daily_loss_limit,prop_max_drawdown_limit,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et
LONG,,,,PULLBACK_1M,,,,,,,,,19666.25,19631.75,-34.5,-345.0,-0.0017542744549672307,-172.5,-252.5,254.25,1.006930693069307,-1000.0,-2000.0,2025-04-28,2025-04-28,2025-04-29,2025-04-29 14:24:00,2025-04-29 15:17:00,2025-04,2025-04
LONG,LONDON_CONTINUATION,iFVG,A,PULLBACK_1M,19564.5,19539.5,19963.25,19589.5,19963.25,25.0,398.75,15.95,19563.0,19588.25,25.25,252.5,0.0012907018350969413,50.5,-202.0,254.25,1.2586633663366336,-1000.0,-2000.0,2025-04-29,2025-04-29,2025-04-30,2025-04-30 02:58:00,2025-04-30 03:14:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19563.0,19563.0,0.0,0.0,0.0,0.0,-202.0,254.25,1.2586633663366336,-1000.0,-2000.0,2025-04-29,2025-04-29,2025-04-30,2025-04-30 02:58:00,2025-04-30 06:30:00,2025-04,2025-04
LONG,,,,PULLBACK_1M,,,,,,,,,19944.5,19916.75,-27.75,-277.5,-0.001391361026849558,-138.75,-340.75,254.25,0.7461482024944974,-1000.0,-2000.0,2025-04-30,2025-04-30,2025-05-01,2025-05-01 00:35:00,2025-05-01 02:00:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,19986.0,19953.5,-32.5,-325.0,-0.0016261382968077998,-162.5,-503.25,254.25,0.5052160953800298,-1000.0,-2000.0,2025-05-01,2025-05-01,2025-05-02,2025-05-02 00:05:00,2025-05-02 01:27:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,20256.75,20229.75,-27.0,-270.0,-0.0013328890369876945,-108.0,-611.25,254.25,0.41595092024539876,-1000.0,-2000.0,2025-05-01,2025-05-01,2025-05-02,2025-05-02 14:12:00,2025-05-02 14:48:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,20176.0,20149.5,-26.5,-265.0,-0.0013134417129262443,-106.0,-717.25,254.25,0.35447891251307073,-1000.0,-2000.0,2025-05-07,2025-05-07,2025-05-08,2025-05-08 00:09:00,2025-05-08 01:56:00,2025-05,2025-05
LONG,LONDON_CONTINUATION,MSS,A,PULLBACK_1M,20177.75,20151.816071428573,20262.5,20203.683928571427,20262.5,25.933928571426804,84.75,3.267919851270621,20176.75,20205.25,28.5,285.0,0.0014125168820549039,57.0,-660.25,254.25,0.3850814085573646,-1000.0,-2000.0,2025-05-07,2025-05-07,2025-05-08,2025-05-08 04:14:00,2025-05-08 04:20:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,20176.75,20176.75,0.0,0.0,0.0,0.0,-660.25,254.25,0.3850814085573646,-1000.0,-2000.0,2025-05-07,2025-05-07,2025-05-08,2025-05-08 04:14:00,2025-05-08 08:36:00,2025-05,2025-05
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,20493.0,20467.08392857143,20547.25,20518.91607142857,20547.25,25.91607142857174,54.25,2.0932956659546362,20488.25,20516.75,28.5,285.0,0.0013910412065452071,57.0,-603.25,254.25,0.42146705346042274,-1000.0,-2000.0,2025-05-11,2025-05-11,2025-05-11,2025-05-11 20:32:00,2025-05-11 21:02:00,2025-05,2025-05
LONG,,,,PULLBACK_1M,,,,,,,,,20488.25,20547.25,59.0,590.0,0.002879699339865427,118.0,-485.25,254.25,0.5239567233384853,-1000.0,-2000.0,2025-05-11,2025-05-11,2025-05-12,2025-05-11 20:32:00,2025-05-12 01:42:00,2025-05,2025-05
