side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25142.25,25117.25,25241.5,25167.25,25241.5,25.0,99.25,3.97,25142.5,25168.25,25.75,257.5,0.0010241622750322144,2025-10-06 20:18:00,2025-10-07 00:09:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25142.25,25117.25,25241.5,25167.25,25241.5,25.0,99.25,3.97,25142.5,25142.5,0.0,0.0,0.0,2025-10-06 20:18:00,2025-10-07 02:31:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25337.75,25311.75,25394.0,25361.75,25394.0,26.0,56.25,2.1634615384615383,25337.25,25311.75,-25.5,-255.0,-0.001006423349021679,2025-10-09 20:54:00,2025-10-09 23:55:00,2025-10,2025-10
SHORT,NYPM_CONTINUATION,C2C3,A,PULLBACK_1M,24668.75,24757.2625,24524.725,24602.2375,24524.725,88.51250000000073,144.02500000000146,1.627171303488211,24669.25,24576.5,92.75,927.5,0.0037597413784367095,2025-10-10 13:47:00,2025-10-10 14:55:00,2025-10,2025-10
SHORT,NYPM_CONTINUATION,C2C3,A,PULLBACK_1M,24668.75,24757.2625,24524.725,24602.2375,24524.725,88.51250000000073,144.02500000000146,1.627171303488211,24669.25,24524.725,144.52500000000146,1445.2500000000146,0.005858508061655776,2025-10-10 13:47:00,2025-10-10 15:28:00,2025-10,2025-10
SHORT,NYPM_CONTINUATION,iFVG,B,PULLBACK_1M,24696.5,24855.369642857142,24378.760714285716,24537.630357142858,24378.760714285716,158.86964285714203,317.73928571428405,2.0,24699.0,24855.369642857142,-156.36964285714203,-1563.6964285714203,-0.0063310110877825565,2025-10-16 14:13:00,2025-10-16 18:10:00,2025-10,2025-10
SHORT,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24638.75,24693.666964285716,24410.0,24583.833035714284,24410.0,54.91696428571595,228.75,4.165379550294962,24638.75,24581.25,57.5,575.0,0.002333722287047868,2025-10-17 02:22:00,2025-10-17 02:49:00,2025-10,2025-10
SHORT,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,24638.75,24693.666964285716,24410.0,24583.833035714284,24410.0,54.91696428571595,228.75,4.165379550294962,24638.75,24638.75,0.0,0.0,-0.0,2025-10-17 02:22:00,2025-10-17 07:09:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,25339.0,25309.485714285714,25384.52857142857,25359.514285714286,25384.52857142857,29.514285714285506,45.52857142857101,1.5425943852855728,25339.0,25309.485714285714,-29.514285714285506,-295.14285714285506,-0.0011647770517496658,2025-10-20 20:28:00,2025-10-21 00:55:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,25101.25,25074.25,25348.5,25124.25,25348.5,27.0,247.25,9.157407407407407,25101.25,25074.25,-27.0,-270.0,-0.0010756436432448613,2025-10-22 22:17:00,2025-10-22 23:42:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,25305.75,25280.75,25355.75,25330.75,25355.75,25.0,50.0,2.0,25305.25,25330.5,25.25,252.5,0.0009978166585984383,2025-10-23 21:03:00,2025-10-24 00:01:00,2025-10,2025-10
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,25305.75,25280.75,25355.75,25330.75,25355.75,25.0,50.0,2.0,25305.25,25355.75,50.5,505.0,0.0019956333171970986,2025-10-23 21:03:00,2025-10-24 02:04:00,2025-10,2025-10
