exit_apex_session_date,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-13,1,-125.0,-25.0,-125.0,0.0,-125.0
2025-04-22,2,-303.75,-60.75,-151.875,0.0,-428.75
2025-04-27,2,269.0,89.0,134.5,100.0,-159.75
2025-04-28,2,25.75,25.75,12.875,50.0,-134.0
2025-04-29,4,224.5,93.25,56.125,75.0,90.5
2025-04-30,1,-120.0,-30.0,-120.0,0.0,-29.5
2025-05-11,2,1160.25,402.25,580.125,100.0,1130.75
2025-05-13,1,-90.0,-22.5,-90.0,0.0,1040.75
2025-05-15,2,-60.25,0.25,-30.125,50.0,980.5
2025-05-19,1,-91.0,-22.75,-91.0,0.0,889.5
2025-05-25,4,206.5,111.0,51.625,75.0,1096.0
2025-05-26,1,-132.0,-33.0,-132.0,0.0,964.0
2025-05-27,2,31.5,31.5,15.75,50.0,995.5
2025-05-28,2,-49.75,-0.25,-24.875,50.0,945.75
2025-06-01,2,-206.0,-51.5,-103.0,0.0,739.75
2025-06-02,2,799.25,281.25,399.625,100.0,1539.0
2025-06-04,1,-143.0,-35.75,-143.0,0.0,1396.0
2025-06-08,2,24.25,24.25,12.125,50.0,1420.25
2025-06-10,2,25.5,25.5,12.75,50.0,1445.75
2025-06-11,1,-106.0,-26.5,-106.0,0.0,1339.75
2025-06-15,2,343.75,134.25,171.875,100.0,1683.5
2025-06-17,2,270.25,108.75,135.125,100.0,1953.75
2025-06-19,2,-49.25,0.25,-24.625,50.0,1904.5
2025-06-22,2,31.0,31.0,15.5,50.0,1935.5
2025-06-24,2,25.5,25.5,12.75,50.0,1961.0
2025-06-25,3,-104.92857142856519,-6.732142857141298,-34.9761904761884,33.33333333333333,1856.0714285714348
2025-06-26,2,265.5,103.0,132.75,100.0,2121.571428571435
2025-06-29,1,-104.5,-26.125,-104.5,0.0,2017.0714285714348
2025-07-02,2,-46.75,0.75,-23.375,50.0,1970.3214285714348
2025-07-06,2,-50.5,-1.0,-25.25,50.0,1919.8214285714348
2025-07-07,2,24.5,24.5,12.25,50.0,1944.3214285714348
2025-07-09,2,26.75,26.75,13.375,50.0,1971.0714285714348
2025-07-14,2,28.0,28.0,14.0,50.0,1999.0714285714348
2025-07-16,2,572.25,207.25,286.125,100.0,2571.321428571435
2025-07-20,2,-46.75,2.75,-23.375,50.0,2524.571428571435
2025-07-21,1,-98.0,-24.5,-98.0,0.0,2426.571428571435
2025-07-22,2,-43.75,1.75,-21.875,50.0,2382.821428571435
2025-07-23,1,-102.0,-25.5,-102.0,0.0,2280.821428571435
2025-07-27,1,92.0,23.0,92.0,100.0,2372.821428571435
2025-07-28,2,269.5,105.0,134.75,100.0,2642.321428571435
2025-07-30,2,-45.75,6.25,-22.875,50.0,2596.571428571435
2025-08-06,2,267.0,104.0,133.5,100.0,2863.571428571435
2025-08-10,1,-101.0,-25.25,-101.0,0.0,2762.571428571435
2025-08-12,2,263.0,104.0,131.5,100.0,3025.571428571435
2025-08-14,1,-103.0,-25.75,-103.0,0.0,2922.571428571435
2025-08-25,1,-122.4571428571362,-30.61428571428405,-122.4571428571362,0.0,2800.1142857142986
2025-08-31,2,76.25,40.75,38.125,100.0,2876.3642857142986
2025-09-01,2,28.75,28.75,14.375,50.0,2905.1142857142986
2025-09-04,2,-62.75,-2.75,-31.375,50.0,2842.3642857142986
2025-09-07,2,191.25,81.25,95.625,100.0,3033.6142857142986
2025-09-08,2,-48.5,-1.0,-24.25,50.0,2985.1142857142986
2025-09-09,3,-57.75,27.0,-19.25,33.33333333333333,2927.3642857142986
2025-09-10,2,-50.25,-1.75,-25.125,50.0,2877.1142857142986
2025-09-11,1,22.25,22.25,22.25,100.0,2899.3642857142986
2025-09-13,1,272.25,90.75,272.25,100.0,3171.6142857142986
2025-09-14,2,560.75,205.25,280.375,100.0,3732.3642857142986
2025-09-15,1,-87.0,-21.75,-87.0,0.0,3645.3642857142986
2025-09-17,1,-123.0,-30.75,-123.0,0.0,3522.3642857142986
2025-09-18,2,25.0,25.0,12.5,50.0,3547.3642857142986
2025-09-22,1,-107.0,-26.75,-107.0,0.0,3440.3642857142986
2025-09-25,1,-121.0,-30.25,-121.0,0.0,3319.3642857142986
2025-09-28,2,257.25,102.75,128.625,100.0,3576.6142857142986
2025-10-01,3,181.0,79.5,60.333333333333336,66.66666666666666,3757.6142857142986
2025-10-02,2,-139.89374999999563,-46.631249999998545,-69.94687499999782,0.0,3617.720535714303
2025-10-06,2,22.75,22.75,11.375,50.0,3640.470535714303
2025-10-09,2,22.75,22.75,11.375,50.0,3663.220535714303
2025-10-16,2,36.0,36.0,18.0,50.0,3699.220535714303
2025-10-20,1,-72.75,-24.25,-72.75,0.0,3626.470535714303
2025-10-21,1,-81.0,-27.0,-81.0,0.0,3545.470535714303
2025-10-23,2,24.5,24.5,12.25,50.0,3569.970535714303
2025-10-26,2,187.5,105.5,93.75,100.0,3757.470535714303
2025-10-27,2,396.5,209.25,198.25,100.0,4153.970535714303
2025-10-28,2,28.75,28.75,14.375,50.0,4182.720535714303
2025-10-30,3,-47.153571428567375,0.2821428571442084,-15.717857142855792,33.33333333333333,4135.566964285736
2025-11-02,2,23.5,23.5,11.75,50.0,4159.066964285736
2025-11-06,2,197.25,117.25,98.625,100.0,4356.316964285736
2025-11-12,2,-9.037499999998545,7.606250000000728,-4.518749999999272,50.0,4347.279464285737
2025-11-13,2,61.75,61.75,30.875,50.0,4409.029464285737
2025-11-16,1,-105.1678571428638,-26.29196428571595,-105.1678571428638,0.0,4303.861607142873
2025-11-17,2,151.25,81.25,75.625,100.0,4455.111607142873
2025-11-25,2,-30.724999999998545,3.7625000000007276,-15.362499999999272,50.0,4424.386607142875
2025-11-26,1,22.75,22.75,22.75,100.0,4447.136607142875
2025-11-27,1,62.0,31.0,62.0,100.0,4509.136607142875
2025-12-01,3,-66.25,-3.25,-22.083333333333332,33.33333333333333,4442.886607142875
2025-12-02,1,-66.0,-22.0,-66.0,0.0,4376.886607142875
2025-12-03,2,92.0,60.0,46.0,100.0,4468.886607142875
2025-12-04,1,-79.5,-26.5,-79.5,0.0,4389.386607142875
2025-12-07,3,-230.27946428571522,-76.75982142857174,-76.75982142857174,0.0,4159.1071428571595
2025-12-09,2,-27.25,-2.0,-13.625,50.0,4131.8571428571595
2025-12-21,2,25.75,25.75,12.875,50.0,4157.6071428571595
2025-12-23,1,-95.25,-31.75,-95.25,0.0,4062.3571428571595
2025-12-25,2,27.75,27.75,13.875,50.0,4090.1071428571595
2026-01-01,2,-30.25,1.25,-15.125,50.0,4059.8571428571595
2026-01-05,1,-87.0,-29.0,-87.0,0.0,3972.8571428571595
2026-01-06,2,125.5,74.0,62.75,100.0,4098.3571428571595
2026-01-08,2,28.75,28.75,14.375,50.0,4127.1071428571595
2026-01-12,2,49.0,49.0,24.5,50.0,4176.1071428571595
2026-01-14,2,30.0,30.0,15.0,50.0,4206.1071428571595
2026-01-15,1,-75.75,-25.25,-75.75,0.0,4130.3571428571595
2026-01-19,2,35.0,35.0,17.5,50.0,4165.3571428571595
2026-01-25,4,460.0,275.75,115.0,75.0,4625.3571428571595
2026-01-26,4,143.75,94.5,35.9375,75.0,4769.1071428571595
2026-01-27,3,-118.84553571428478,-32.36517857142826,-39.61517857142826,33.33333333333333,4650.261607142875
2026-01-28,1,-69.0,-23.0,-69.0,0.0,4581.261607142875
2026-02-03,2,822.75,432.25,411.375,100.0,5404.011607142875
2026-02-10,2,25.75,25.75,12.875,50.0,5429.761607142875
2026-02-16,2,-59.25,0.25,-29.625,50.0,5370.511607142875
2026-02-19,1,-100.0,-25.0,-100.0,0.0,5270.511607142875
2026-02-23,1,-123.0,-30.75,-123.0,0.0,5147.511607142875
2026-02-24,2,545.25,300.25,272.625,100.0,5692.761607142875
2026-02-25,1,-74.25,-24.75,-74.25,0.0,5618.511607142875
2026-03-01,1,-115.07857142857392,-28.76964285714348,-115.07857142857392,0.0,5503.433035714301
2026-03-04,2,40.0,37.0,20.0,100.0,5543.433035714301
2026-03-12,2,526.0,192.0,263.0,100.0,6069.433035714301
2026-03-16,1,-113.0,-28.25,-113.0,0.0,5956.433035714301
2026-03-18,2,-273.0,-68.25,-136.5,0.0,5683.433035714301
2026-03-19,2,404.0,162.0,202.0,100.0,6087.433035714301
2026-03-22,2,27.0,27.0,13.5,50.0,6114.433035714301
2026-03-25,2,23.25,23.25,11.625,50.0,6137.683035714301
2026-03-26,4,1673.25,606.25,418.3125,100.0,7810.933035714301
2026-03-29,2,233.0,102.5,116.5,100.0,8043.933035714301
2026-04-01,2,29.0,29.0,14.5,50.0,8072.933035714301
