side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et
LONG,,,,PULLBACK_1M,,,,,,,,,23541.0,23590.75,49.75,497.5,,49.75,1119.0687500000022,1295.0,1.1572121909400093,5,-1000.0,-2000.0,150.0,2025-07-28 21:15:00,2025-07-29 03:46:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23752.25,23777.0,24.75,247.5,,24.75,1143.8187500000022,1295.0,1.1321723830807962,5,-1000.0,-2000.0,150.0,2025-07-30 20:45:00,2025-07-30 22:14:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23752.25,23804.0,51.75,517.5,,51.75,1195.5687500000022,1295.0,1.083166484570626,5,-1000.0,-2000.0,150.0,2025-07-30 20:45:00,2025-07-31 00:40:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23812.0,23842.5,30.5,305.0,,30.5,1226.0687500000022,1295.0,1.056221357896935,5,-1000.0,-2000.0,150.0,2025-07-31 03:28:00,2025-07-31 03:47:00,2025-07,2025-07
LONG,,,,PULLBACK_1M,,,,,,,,,23812.0,23786.25,-25.75,-257.5,,-25.75,1200.3187500000022,1295.0,1.0788800891429862,5,-1000.0,-2000.0,150.0,2025-07-31 03:28:00,2025-07-31 05:36:00,2025-07,2025-07
SHORT,,,,PULLBACK_1M,,,,,,,,,23072.25,23097.25,-25.0,-250.0,,-50.0,1150.3187500000022,1295.0,1.1257749210816546,5,-1000.0,-2000.0,150.0,2025-08-05 20:56:00,2025-08-05 21:38:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23493.0,23519.0,26.0,260.0,,26.0,1176.3187500000022,1295.0,1.1008920838845744,5,-1000.0,-2000.0,150.0,2025-08-07 03:11:00,2025-08-07 04:01:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23493.0,23493.0,0.0,0.0,,0.0,1176.3187500000022,1295.0,1.1008920838845744,5,-1000.0,-2000.0,150.0,2025-08-07 03:11:00,2025-08-07 11:48:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23569.0,23541.25,-27.75,-277.5,,-55.5,1120.8187500000022,1295.0,1.1554053677278306,5,-1000.0,-2000.0,150.0,2025-08-07 20:59:00,2025-08-08 00:03:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23698.25,23723.0,24.75,247.5,,24.75,1145.5687500000022,1295.0,1.130442847712106,5,-1000.0,-2000.0,150.0,2025-08-08 13:44:00,2025-08-08 16:01:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23698.25,23750.0,51.75,517.5,,51.75,1197.3187500000022,1295.0,1.0815833294183337,5,-1000.0,-2000.0,150.0,2025-08-08 13:44:00,2025-08-08 16:13:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23741.5,23766.75,25.25,252.5,,25.25,1222.5687500000022,1295.0,1.0592451344760756,5,-1000.0,-2000.0,150.0,2025-08-10 21:26:00,2025-08-10 22:19:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23741.5,23718.25,-23.25,-232.5,,-23.25,1199.3187500000022,1295.0,1.079779666581547,5,-1000.0,-2000.0,150.0,2025-08-10 21:26:00,2025-08-11 03:45:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23960.75,23987.25,26.5,265.0,,26.5,1225.8187500000022,1295.0,1.0564367693021481,5,-1000.0,-2000.0,150.0,2025-08-13 02:34:00,2025-08-13 03:27:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23960.75,23960.75,0.0,0.0,,0.0,1225.8187500000022,1295.0,1.0564367693021481,5,-1000.0,-2000.0,150.0,2025-08-13 02:34:00,2025-08-13 10:26:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23860.75,23836.5,-24.25,-242.5,,-48.5,1177.3187500000022,1295.0,1.0999569997504903,5,-1000.0,-2000.0,150.0,2025-08-17 20:08:00,2025-08-18 02:12:00,2025-08,2025-08
SHORT,,,,PULLBACK_1M,,,,,,,,,23351.25,23376.75,-25.5,-255.0,,-51.0,1126.3187500000022,1295.0,1.1497633329818913,5,-1000.0,-2000.0,150.0,2025-08-20 00:37:00,2025-08-20 02:31:00,2025-08,2025-08
SHORT,,,,PULLBACK_1M,,,,,,,,,23204.75,23174.0,30.75,307.5,,30.75,1157.0687500000022,1295.0,1.1192074801086778,5,-1000.0,-2000.0,150.0,2025-08-21 23:01:00,2025-08-22 02:11:00,2025-08,2025-08
SHORT,,,,PULLBACK_1M,,,,,,,,,23204.75,23204.75,0.0,0.0,,-0.0,1157.0687500000022,1295.0,1.1192074801086778,5,-1000.0,-2000.0,150.0,2025-08-21 23:01:00,2025-08-22 04:05:00,2025-08,2025-08
SHORT,,,,PULLBACK_1M,,,,,,,,,23435.75,23466.364285714284,-30.61428571428405,-306.1428571428405,,-61.2285714285681,1095.840178571434,1295.0,1.1817416675561174,5,-1000.0,-2000.0,150.0,2025-08-26 03:51:00,2025-08-26 04:12:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23579.0,23553.5,-25.5,-255.0,,-51.0,1044.840178571434,1295.0,1.2394240062347133,5,-1000.0,-2000.0,150.0,2025-08-27 23:30:00,2025-08-28 01:44:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23789.25,23764.25,-25.0,-250.0,,-50.0,994.8401785714341,1295.0,1.301716625337336,5,-1000.0,-2000.0,150.0,2025-08-28 14:57:00,2025-08-28 16:00:00,2025-08,2025-08
LONG,,,,PULLBACK_1M,,,,,,,,,23735.0,23762.0,27.0,270.0,,27.0,1021.8401785714341,1295.0,1.2673214727282032,5,-1000.0,-2000.0,150.0,2025-09-04 21:58:00,2025-09-05 01:36:00,2025-09,2025-09
