calendar_exit_date_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-10-07,2,154.5,25.75,77.25,50.0,154.5
2025-10-17,2,345.0,57.5,172.5,50.0,499.5
2025-10-22,1,-162.0,-27.0,-162.0,0.0,337.5
2025-10-24,2,3700.0,231.25,1850.0,100.0,4037.5
2025-10-27,3,204.0,12.75,68.0,33.33333333333333,4241.5
2025-10-29,2,-228.7999999999883,8.043750000000728,-114.39999999999415,50.0,4012.7000000000116
2025-10-30,1,0.0,0.0,0.0,0.0,4012.7000000000116
2025-10-31,3,256.9089285714217,-10.515178571429715,85.63630952380724,33.33333333333333,4269.608928571433
2025-11-02,1,-168.0,-28.0,-168.0,0.0,4101.608928571433
2025-11-07,2,10355.0,517.75,5177.5,100.0,14456.608928571433
2025-11-14,2,2265.0,113.25,1132.5,50.0,16721.608928571433
2025-12-02,2,764.0,47.75,382.0,50.0,17485.608928571433
2025-12-08,2,156.0,26.0,78.0,50.0,17641.608928571433
2025-12-10,2,189.0,31.5,94.5,50.0,17830.608928571433
2025-12-15,1,717.5,51.25,717.5,100.0,18548.108928571433
2025-12-16,1,3927.0,280.5,3927.0,100.0,22475.108928571433
2025-12-22,2,148.5,24.75,74.25,50.0,22623.608928571433
2026-01-01,1,162.0,27.0,162.0,100.0,22785.608928571433
2026-01-02,1,670.5,111.75,670.5,100.0,23456.108928571433
2026-01-16,2,157.5,26.25,78.75,50.0,23613.608928571433
2026-01-20,4,938.0,64.75,234.5,50.0,24551.608928571433
2026-01-25,1,-249.0,-41.5,-249.0,0.0,24302.608928571433
2026-01-26,2,168.0,28.0,84.0,50.0,24470.608928571433
2026-01-27,2,392.0,24.5,196.0,50.0,24862.608928571433
2026-01-28,1,213.0,35.5,213.0,100.0,25075.608928571433
2026-01-29,1,0.0,0.0,0.0,0.0,25075.608928571433
2026-02-01,1,370.5,61.75,370.5,100.0,25446.108928571433
2026-02-02,1,1110.0,185.0,1110.0,100.0,26556.108928571433
2026-02-11,2,153.0,25.5,76.5,50.0,26709.108928571433
2026-02-22,1,-201.0,-33.5,-201.0,0.0,26508.108928571433
2026-02-23,2,-877.5,-64.0,-438.75,0.0,25630.608928571433
2026-02-24,2,840.0,42.0,420.0,50.0,26470.608928571433
2026-02-25,2,5072.0,317.0,2536.0,100.0,31542.608928571433
2026-02-26,2,-797.5,-49.84375,-398.75,0.0,30745.108928571433
2026-03-03,3,767.0,20.5,255.66666666666666,33.33333333333333,31512.108928571433
2026-03-04,2,360.0,60.0,180.0,50.0,31872.108928571433
2026-03-05,1,-139.5,-23.25,-139.5,0.0,31732.608928571433
2026-03-10,1,166.5,27.75,166.5,100.0,31899.108928571433
2026-03-11,1,0.0,0.0,0.0,0.0,31899.108928571433
2026-03-15,1,-196.1785714285652,-32.69642857142753,-196.1785714285652,0.0,31702.930357142868
2026-03-19,1,-530.0,-26.5,-530.0,0.0,31172.930357142868
2026-03-26,4,9310.0,556.5,2327.5,75.0,40482.93035714287
2026-03-27,2,9840.0,492.0,4920.0,100.0,50322.93035714287
2026-03-30,2,358.0,44.75,179.0,50.0,50680.93035714287
2026-04-02,2,471.0,78.5,235.5,50.0,51151.93035714287
2026-04-06,1,-256.6767857142913,-42.77946428571522,-256.6767857142913,0.0,50895.25357142858
