exit_month_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,win_rate_pct,trading_days,green_days,red_days,worst_day_dollars,best_day_dollars,avg_day_dollars,soft_loss_cap_breach_days,qualifying_days,cumulative_pnl_dollars,account_balance_est,month_green,eligible_for_review_flag,strong_month_flag,conservative_payout_view,retained_buffer_view,equity_peak_est,drawdown_from_peak_dollars
2025-04,13,662.5,66.25,50.96153846153846,5.096153846153846,38.46153846153847,7,3,4,-357.5,847.5,94.64285714285714,0,3,662.5,50662.5,True,False,False,530.0,132.5,50662.5,0.0
2025-05,17,5392.5,539.25,317.20588235294116,31.720588235294116,41.17647058823529,9,4,5,-857.5,6475.0,599.1666666666666,0,3,6055.0,56055.0,True,False,True,4314.0,1078.5,56055.0,0.0
2025-06,28,3943.5625000000073,394.3562500000007,140.84151785714312,14.084151785714312,57.14285714285714,12,10,2,-357.5,990.0,328.63020833333394,0,10,9998.562500000007,59998.56250000001,True,True,True,3154.850000000006,788.7125000000015,59998.56250000001,0.0
2025-07,30,4317.5,431.75,143.91666666666666,14.391666666666667,53.333333333333336,17,10,7,-527.5,2517.5,253.97058823529412,0,9,14316.062500000007,64316.06250000001,True,True,True,3454.0,863.5,64316.06250000001,0.0
2025-08,17,-218.6428571428405,-21.86428571428405,-12.861344537814148,-1.2861344537814148,35.294117647058826,11,5,6,-505.0,487.5,-19.876623376621865,0,5,14097.419642857167,64097.41964285717,False,True,False,0.0,0.0,64316.06250000001,-218.6428571428405
2025-09,31,3657.5,365.75,117.98387096774194,11.798387096774194,58.06451612903226,15,10,4,-277.5,1040.0,243.83333333333334,0,9,17754.919642857167,67754.91964285716,True,True,True,2926.0,731.5,67754.91964285716,0.0
2025-10,25,5164.955357142899,516.4955357142899,206.59821428571595,20.659821428571593,56.00000000000001,12,7,5,-295.14285714285506,3070.0,430.4129464285749,0,7,22919.875000000065,72919.87500000006,True,True,True,4131.964285714319,1032.9910714285797,72919.87500000006,0.0
