exit_month_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,win_rate_pct,trading_days,green_days,red_days,worst_day_dollars,best_day_dollars,avg_day_dollars,soft_loss_cap_breach_days,cumulative_pnl_dollars,account_balance_est,month_green,eligible_for_review_flag,strong_month_flag,conservative_payout_view,retained_buffer_view,equity_peak_est,drawdown_from_peak_dollars
2025-10,27,3555.6160714285943,355.56160714285943,131.68948412698498,13.168948412698498,48.148148148148145,12,6,6,-537.5,3070.0,296.3013392857162,0,3555.6160714285943,53555.616071428594,True,True,True,2844.4928571428754,711.1232142857189,53555.616071428594,0.0
2025-11,14,5487.5,548.75,391.9642857142857,39.19642857142857,50.0,9,6,3,-522.5,4750.0,609.7222222222222,0,9043.116071428594,59043.116071428594,True,True,True,4390.0,1097.5,59043.116071428594,0.0
2025-12,13,239.41964285713766,23.941964285713766,18.416895604395204,1.8416895604395205,38.46153846153847,8,5,3,-453.08035714286234,590.0,29.927455357142208,0,9282.535714285732,59282.53571428573,True,True,False,191.53571428571013,47.88392857142753,59282.53571428573,0.0
2026-01,27,3312.205357142848,331.2205357142848,122.67427248677214,12.267427248677214,48.148148148148145,13,9,3,-591.6428571428696,867.5,254.78502747252676,0,12594.74107142858,62594.74107142858,True,True,True,2649.7642857142782,662.4410714285696,62594.74107142858,0.0
2026-02,14,1429.0625,142.90625,102.07589285714286,10.207589285714286,28.57142857142857,8,3,5,-640.0,3170.0,178.6328125,0,14023.80357142858,64023.80357142858,True,True,False,1143.25,285.8125,64023.80357142858,0.0
2026-03,15,5676.437499999993,567.6437499999993,378.42916666666616,37.84291666666662,46.666666666666664,9,5,3,-292.5,4710.0,630.7152777777769,0,19700.241071428572,69700.24107142858,True,True,True,4541.149999999994,1135.2874999999985,69700.24107142858,0.0
2026-04,2,332.5,33.25,166.25,16.625,50.0,1,1,0,332.5,332.5,332.5,0,20032.741071428572,70032.74107142858,True,True,False,266.0,66.5,70032.74107142858,0.0
