exit_date_et,trades,pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,month_et,is_green_day,is_red_day,soft_loss_cap_breached
2025-10-17,2,360.0,36.0,180.0,50.0,2025-10,True,False,False
2025-10-24,2,2312.5,231.25,1156.25,100.0,2025-10,True,False,False
2025-10-27,3,710.0,71.0,236.66666666666666,66.66666666666666,2025-10,True,False,False
2025-10-28,2,22.5,2.25,11.25,50.0,2025-10,True,False,False
2025-10-29,3,-729.5624999999927,-72.95624999999927,-243.18749999999758,0.0,2025-10,False,True,False
2025-10-31,1,-237.17857142855792,-23.71785714285579,-237.17857142855792,0.0,2025-10,False,True,False
2025-11-07,2,4750.0,475.0,2375.0,100.0,2025-11,True,False,False
2025-11-11,2,397.5,39.75,198.75,50.0,2025-11,True,False,False
2025-11-12,2,22.5,2.25,11.25,50.0,2025-11,True,False,False
2025-11-17,2,550.0,55.0,275.0,50.0,2025-11,True,False,False
2025-12-03,1,-237.5,-23.75,-237.5,0.0,2025-12,False,True,False
2025-12-05,1,-265.0,-26.5,-265.0,0.0,2025-12,False,True,False
2025-12-08,2,7.5,0.75,3.75,50.0,2025-12,True,False,False
2025-12-10,2,267.5,26.75,133.75,50.0,2025-12,True,False,False
2025-12-17,1,-425.0,-42.5,-425.0,0.0,2025-12,False,True,False
2026-01-02,2,327.5,32.75,163.75,50.0,2026-01,True,False,False
2026-01-06,1,262.5,26.25,262.5,100.0,2026-01,True,False,False
2026-01-07,1,-272.5,-27.25,-272.5,0.0,2026-01,False,True,False
2026-01-13,1,-260.0,-26.0,-260.0,0.0,2026-01,False,True,False
2026-01-19,1,-304.1428571428696,-30.41428571428696,-304.1428571428696,0.0,2026-01,False,True,False
2026-01-20,4,647.5,64.75,161.875,50.0,2026-01,True,False,False
2026-01-26,2,305.0,30.5,152.5,50.0,2026-01,True,False,False
2026-01-27,3,5.0,0.5,1.6666666666666667,33.33333333333333,2026-01,True,False,False
2026-01-28,1,-318.6517857142826,-31.86517857142826,-318.6517857142826,0.0,2026-01,False,True,False
2026-01-29,1,-275.0,-27.5,-275.0,0.0,2026-01,False,True,False
2026-02-03,1,-287.5,-28.75,-287.5,0.0,2026-02,False,True,False
2026-02-23,1,-352.5,-35.25,-352.5,0.0,2026-02,False,True,False
2026-02-24,1,-307.5,-30.75,-307.5,0.0,2026-02,False,True,False
2026-02-25,2,3170.0,317.0,1585.0,100.0,2026-02,True,False,False
2026-02-26,2,-498.4375,-49.84375,-249.21875,0.0,2026-02,False,True,False
2026-03-13,3,-53.562500000007276,-5.356250000000728,-17.85416666666909,33.33333333333333,2026-03,False,True,False
2026-03-19,1,-292.5,-29.25,-292.5,0.0,2026-03,False,True,False
2026-03-20,1,300.0,30.0,300.0,100.0,2026-03,True,False,False
2026-03-26,2,655.0,65.5,327.5,50.0,2026-03,True,False,False
2026-03-27,3,4710.0,471.0,1570.0,66.66666666666666,2026-03,True,False,False
