exit_month_et,trades,gross_pnl_dollars_dynamic,gross_pnl_dollars_5_mnq,gross_pnl_dollars_10_mnq,avg_trade_dollars_dynamic,gross_points,avg_points_per_trade,win_rate_pct,cumulative_pnl_dollars_dynamic
2025-04,11,-20.25,820.0,1640.0,-1.8409090909090908,82.0,7.454545454545454,54.54545454545454,-20.25
2025-05,19,431.0,2997.5,5995.0,22.68421052631579,299.75,15.776315789473685,42.10526315789473,410.75
2025-06,27,945.5714285714348,5281.428571428587,10562.857142857174,35.02116402116425,528.1428571428587,19.560846560846617,51.85185185185185,1356.3214285714348
2025-07,25,27.5,1862.5,3725.0,1.1,186.25,7.45,52.0,1383.8214285714348
2025-08,7,55.542857142863795,748.8571428571595,1497.714285714319,7.934693877551971,74.88571428571595,10.697959183673706,42.857142857142854,1439.3642857142986
2025-09,27,941.75,5140.0,10280.0,34.879629629629626,514.0,19.037037037037038,62.96296296296296,2381.1142857142986
2025-10,25,823.8214285714348,6023.571428571449,12047.142857142899,32.95285714285739,602.3571428571449,24.094285714285796,60.0,3204.9357142857334
2025-11,15,377.5696428571391,2953.267857142855,5906.53571428571,25.171309523809274,295.3267857142855,19.688452380952366,66.66666666666666,3582.5053571428725
2025-12,25,-93.27946428571522,1324.9017857142826,2649.803571428565,-3.7311785714286088,132.49017857142826,5.2996071428571305,56.00000000000001,3489.2258928571573
2026-01,28,575.4044642857152,5146.348214285717,10292.696428571435,20.550159438775545,514.6348214285717,18.37981505102042,57.14285714285714,4064.6303571428725
2026-02,11,1027.25,6680.0,13360.0,93.38636363636364,668.0,60.72727272727273,54.54545454545454,5091.8803571428725
2026-03,23,2828.496428571423,11643.741071428558,23287.482142857116,122.97810559006187,1164.3741071428558,50.62496118012417,69.56521739130434,7920.376785714296
2026-04,2,-49.5,-20.0,-40.0,-24.75,-2.0,-1.0,50.0,7870.876785714296
