exit_month_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,win_rate_pct,trading_days,green_days,red_days,worst_day_dollars,best_day_dollars,avg_day_dollars,soft_loss_cap_breach_days,cumulative_pnl_dollars,account_balance_est,month_green,strong_month_flag,equity_peak_est,drawdown_from_peak_dollars
2025-04,26,1325.0,132.5,50.96153846153846,5.096153846153846,38.46153846153847,6,3,3,-357.5,875.0,55.0,0,1325.0,51325.0,True,False,51325.0,0.0
2025-05,34,10785.0,1078.5,317.20588235294116,31.720588235294116,41.17647058823529,9,4,5,-595.0,6760.0,708.75,0,12110.0,62110.0,True,True,62110.0,0.0
2025-06,56,7887.125000000015,788.7125000000015,140.84151785714312,14.084151785714312,57.14285714285714,11,9,2,-357.5,990.0,358.5056818181825,0,19997.125000000015,69997.12500000001,True,True,69997.12500000001,0.0
2025-07,60,8635.0,863.5,143.91666666666666,14.391666666666667,53.333333333333336,14,9,5,-485.0,2517.5,308.39285714285717,0,28632.125000000015,78632.12500000001,True,True,78632.12500000001,0.0
2025-08,34,-437.285714285681,-43.7285714285681,-12.861344537814148,-1.2861344537814148,35.294117647058826,10,5,5,-505.0,487.5,-21.86428571428405,0,28194.839285714334,78194.83928571433,False,False,78632.12500000001,-437.285714285681
2025-09,62,7315.0,731.5,117.98387096774194,11.798387096774194,58.06451612903226,13,9,4,-277.5,1040.0,261.07142857142856,0,35509.83928571433,85509.83928571433,True,True,85509.83928571433,0.0
2025-10,50,10329.910714285797,1032.9910714285797,206.59821428571595,20.659821428571593,56.00000000000001,11,6,5,-295.14285714285506,3070.0,516.7455357142899,0,45839.75000000013,95839.75000000013,True,True,95839.75000000013,0.0
