exit_month_et,trades,gross_pnl_dollars_dynamic,gross_points,avg_trade_dollars_dynamic,avg_points_per_trade,win_rate_pct,cumulative_pnl_dollars_dynamic
2025-10,16,4269.608928571433,297.778571428571,266.8505580357146,18.61116071428569,43.75,4269.608928571433
2025-11,5,12452.0,603.0,2490.4,120.6,60.0,16721.608928571433
2025-12,10,5902.0,461.75,590.2,46.175,60.0,22623.608928571433
2026-01,15,2452.0,276.25,163.46666666666667,18.416666666666668,53.333333333333336,25075.608928571433
2026-02,13,5669.5,483.90625,436.11538461538464,37.22355769230769,46.15384615384615,30745.108928571433
2026-03,18,19935.821428571435,1119.0535714285725,1107.5456349206352,62.16964285714292,50.0,50680.93035714287
2026-04,3,214.32321428570867,35.72053571428478,71.44107142856956,11.906845238094926,33.33333333333333,50895.25357142858
