side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,entry_session_date,exit_session_date,exit_after_1659,crossed_apex_session
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,25807.0,25780.25,25855.25,25830.25,25855.25,26.75,48.25,1.8037383177570097,25807.5,25780.25,-27.25,-272.5,-0.0010558946042816,2026-01-06 14:15:00,2026-01-07 00:00:00,2026-01,2026-01,2026-01-06,2026-01-07,False,True
SHORT,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,25198.25,25228.48482142857,25095.25,25169.01517857143,25095.25,30.234821428570285,103.0,3.406668044768755,25198.0,25198.0,0.0,0.0,-0.0,2026-01-20 14:11:00,2026-01-20 20:14:00,2026-01,2026-01,2026-01-20,2026-01-21,True,True
