exit_month_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,win_rate_pct,trading_days,green_days,red_days,worst_day_dollars,best_day_dollars,avg_day_dollars,soft_loss_cap_breach_days,cumulative_pnl_dollars,account_balance_est,month_green,strong_month_flag,equity_peak_est,drawdown_from_peak_dollars
2025-10,16,4269.608928571433,297.778571428571,266.8505580357146,18.61116071428569,43.75,8,6,2,-443.2999999999883,3700.0,533.7011160714292,0,4269.608928571433,54269.60892857143,True,True,54269.60892857143,0.0
2025-11,5,12452.0,603.0,2490.4,120.6,60.0,3,2,1,-168.0,10355.0,4150.666666666667,0,16721.608928571426,66721.60892857143,True,True,66721.60892857143,0.0
2025-12,10,5902.0,461.75,590.2,46.175,60.0,6,6,0,148.5,3927.0,983.6666666666666,0,22623.608928571426,72623.60892857143,True,True,72623.60892857143,0.0
2026-01,15,2452.0,276.25,163.46666666666667,18.416666666666668,53.333333333333336,7,5,1,-81.0,938.0,350.2857142857143,0,25075.608928571426,75075.60892857143,True,False,75075.60892857143,0.0
2026-02,13,5669.5,483.90625,436.11538461538464,37.22355769230769,46.15384615384615,6,4,2,-1078.5,5072.0,944.9166666666666,1,30745.108928571426,80745.10892857143,True,True,80745.10892857143,0.0
2026-03,18,19935.821428571435,1119.0535714285725,1107.5456349206352,62.16964285714292,50.0,9,6,3,-530.0,9840.0,2215.0912698412703,0,50680.93035714286,100680.93035714286,True,True,100680.93035714286,0.0
2026-04,3,214.32321428570867,35.72053571428478,71.44107142856956,11.906845238094926,33.33333333333333,2,1,1,-256.6767857142913,471.0,107.16160714285434,0,50895.25357142856,100895.25357142856,True,False,100895.25357142856,0.0
