exit_apex_session_date,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-13,1,-125.0,-25.0,-125.0,0.0,-125.0
2025-04-22,2,-303.75,-60.75,-151.875,0.0,-428.75
2025-04-27,2,262.75,82.75,131.375,100.0,-166.0
2025-04-28,2,18.5,18.5,9.25,50.0,-147.5
2025-04-29,4,221.25,90.0,55.3125,75.0,73.75
2025-04-30,1,-120.0,-30.0,-120.0,0.0,-46.25
2025-05-11,2,1160.25,402.25,580.125,100.0,1114.0
2025-05-13,1,-90.0,-22.5,-90.0,0.0,1024.0
2025-05-14,2,-59.0,-3.0,-29.5,50.0,965.0
2025-05-15,2,-60.25,0.25,-30.125,50.0,904.75
2025-05-19,2,-48.5,-3.0,-24.25,50.0,856.25
2025-05-25,4,180.25,92.75,45.0625,75.0,1036.5
2025-05-26,2,-141.0,-35.25,-70.5,0.0,895.5
2025-05-27,2,24.75,24.75,12.375,50.0,920.25
2025-05-28,2,-54.25,-4.75,-27.125,50.0,866.0
2025-06-01,2,-206.0,-51.5,-103.0,0.0,660.0
2025-06-02,2,799.0,281.0,399.5,100.0,1459.0
2025-06-04,1,-143.0,-35.75,-143.0,0.0,1316.0
2025-06-08,2,20.25,20.25,10.125,50.0,1336.25
2025-06-10,3,-60.5,-1.25,-20.166666666666668,33.33333333333333,1275.75
2025-06-11,1,-106.0,-26.5,-106.0,0.0,1169.75
2025-06-15,2,335.75,126.25,167.875,100.0,1505.5
2025-06-17,2,251.5,102.5,125.75,100.0,1757.0
2025-06-19,2,-53.25,-3.75,-26.625,50.0,1703.75
2025-06-22,2,31.0,31.0,15.5,50.0,1734.75
2025-06-24,2,22.75,22.75,11.375,50.0,1757.5
2025-06-25,4,16.821428571434808,37.7678571428587,4.205357142858702,50.0,1774.3214285714348
2025-06-26,2,244.25,94.25,122.125,100.0,2018.5714285714348
2025-06-29,1,-104.5,-26.125,-104.5,0.0,1914.0714285714348
2025-07-02,2,-52.5,-5.0,-26.25,50.0,1861.5714285714348
2025-07-06,2,-55.25,-5.75,-27.625,50.0,1806.3214285714348
2025-07-07,2,19.75,19.75,9.875,50.0,1826.0714285714348
2025-07-09,2,21.75,21.75,10.875,50.0,1847.8214285714348
2025-07-14,2,240.75,93.25,120.375,100.0,2088.571428571435
2025-07-16,2,568.75,203.75,284.375,100.0,2657.321428571435
2025-07-20,2,-55.25,-5.75,-27.625,50.0,2602.071428571435
2025-07-21,1,-98.0,-24.5,-98.0,0.0,2504.071428571435
2025-07-22,2,-47.25,-1.75,-23.625,50.0,2456.821428571435
2025-07-23,1,-102.0,-25.5,-102.0,0.0,2354.821428571435
2025-07-27,2,93.25,47.25,46.625,100.0,2448.071428571435
2025-07-28,2,250.75,98.75,125.375,100.0,2698.821428571435
2025-07-30,2,-56.25,-4.25,-28.125,50.0,2642.571428571435
2025-08-06,2,247.0,96.5,123.5,100.0,2889.571428571435
2025-08-10,1,-101.0,-25.25,-101.0,0.0,2788.571428571435
2025-08-12,2,242.25,95.75,121.125,100.0,3030.821428571435
2025-08-14,1,-103.0,-25.75,-103.0,0.0,2927.821428571435
2025-08-25,1,-122.4571428571362,-30.61428571428405,-122.4571428571362,0.0,2805.3642857142986
2025-08-31,2,72.5,37.0,36.25,100.0,2877.8642857142986
2025-09-01,2,28.75,28.75,14.375,50.0,2906.6142857142986
2025-09-04,2,-64.5,-4.5,-32.25,50.0,2842.1142857142986
2025-09-07,2,184.5,74.5,92.25,100.0,3026.6142857142986
2025-09-08,2,20.75,20.75,10.375,50.0,3047.3642857142986
2025-09-09,3,-85.0,-0.25,-28.333333333333332,33.33333333333333,2962.3642857142986
2025-09-10,2,-53.5,-5.0,-26.75,50.0,2908.8642857142986
2025-09-11,1,21.25,21.25,21.25,100.0,2930.1142857142986
2025-09-13,1,272.25,90.75,272.25,100.0,3202.3642857142986
2025-09-14,2,555.5,200.0,277.75,100.0,3757.8642857142986
2025-09-15,1,-87.0,-21.75,-87.0,0.0,3670.8642857142986
2025-09-17,1,-123.0,-30.75,-123.0,0.0,3547.8642857142986
2025-09-18,2,20.0,20.0,10.0,50.0,3567.8642857142986
2025-09-21,1,23.0,5.75,23.0,100.0,3590.8642857142986
2025-09-25,1,-121.0,-30.25,-121.0,0.0,3469.8642857142986
2025-09-28,2,236.0,94.0,118.0,100.0,3705.8642857142986
2025-10-01,3,159.5,70.5,53.166666666666664,66.66666666666666,3865.3642857142986
2025-10-02,2,-139.89374999999563,-46.631249999998545,-69.94687499999782,0.0,3725.470535714303
2025-10-06,2,21.5,21.5,10.75,50.0,3746.970535714303
2025-10-07,2,24.0,23.75,12.0,100.0,3770.970535714303
2025-10-09,2,22.75,22.75,11.375,50.0,3793.720535714303
2025-10-16,2,26.75,26.75,13.375,50.0,3820.470535714303
2025-10-20,1,-72.75,-24.25,-72.75,0.0,3747.720535714303
2025-10-21,1,-81.0,-27.0,-81.0,0.0,3666.720535714303
2025-10-23,2,19.75,19.75,9.875,50.0,3686.470535714303
2025-10-26,2,171.0,95.25,85.5,100.0,3857.470535714303
2025-10-27,2,394.5,207.25,197.25,100.0,4251.970535714303
2025-10-28,2,22.25,22.25,11.125,50.0,4274.220535714303
2025-10-30,3,-48.153571428567375,-0.7178571428557916,-16.051190476189124,33.33333333333333,4226.066964285736
2025-11-02,2,20.25,20.25,10.125,50.0,4246.316964285736
2025-11-06,2,168.75,95.0,84.375,100.0,4415.066964285736
2025-11-12,2,-13.537499999998545,3.1062500000007276,-6.768749999999272,50.0,4401.529464285737
2025-11-13,2,34.5,34.5,17.25,50.0,4436.029464285737
2025-11-16,1,-105.1678571428638,-26.29196428571595,-105.1678571428638,0.0,4330.861607142873
2025-11-17,2,145.0,75.0,72.5,100.0,4475.861607142873
2025-11-25,2,-30.724999999998545,3.7625000000007276,-15.362499999999272,50.0,4445.136607142875
2025-11-26,1,21.5,21.5,21.5,100.0,4466.636607142875
2025-11-27,1,62.0,31.0,62.0,100.0,4528.636607142875
2025-11-30,2,82.75,59.75,41.375,100.0,4611.386607142875
2025-12-01,5,-16.5,29.75,-3.3,60.0,4594.886607142875
2025-12-02,2,-26.0,-4.0,-13.0,50.0,4568.886607142875
2025-12-03,2,86.75,54.75,43.375,100.0,4655.636607142875
2025-12-04,2,-32.75,-6.25,-16.375,50.0,4622.886607142875
2025-12-07,3,-230.27946428571522,-76.75982142857174,-76.75982142857174,0.0,4392.6071428571595
2025-12-09,2,-32.0,-6.75,-16.0,50.0,4360.6071428571595
2025-12-21,2,20.5,20.5,10.25,50.0,4381.1071428571595
2025-12-22,1,-73.5,-24.5,-73.5,0.0,4307.6071428571595
2025-12-23,2,171.5,96.0,85.75,100.0,4479.1071428571595
2025-12-25,2,22.25,22.25,11.125,50.0,4501.3571428571595
2026-01-01,2,-35.25,-3.75,-17.625,50.0,4466.1071428571595
2026-01-05,1,-87.0,-29.0,-87.0,0.0,4379.1071428571595
2026-01-06,2,122.25,70.75,61.125,100.0,4501.3571428571595
2026-01-08,2,23.5,23.5,11.75,50.0,4524.8571428571595
2026-01-12,2,92.5,92.5,46.25,50.0,4617.3571428571595
2026-01-14,2,21.5,21.5,10.75,50.0,4638.8571428571595
2026-01-15,2,-30.5,-5.25,-15.25,50.0,4608.3571428571595
2026-01-19,2,24.25,24.25,12.125,50.0,4632.6071428571595
2026-01-25,4,449.5,265.25,112.375,75.0,5082.1071428571595
2026-01-26,4,141.0,91.75,35.25,75.0,5223.1071428571595
2026-01-27,3,-118.84553571428478,-32.36517857142826,-39.61517857142826,33.33333333333333,5104.261607142875
2026-01-28,2,-27.5,-4.5,-13.75,50.0,5076.761607142875
2026-02-03,2,812.75,422.25,406.375,100.0,5889.511607142875
2026-02-10,2,25.75,25.75,12.875,50.0,5915.261607142875
2026-02-16,2,30.0,30.0,15.0,50.0,5945.261607142875
2026-02-19,1,-100.0,-25.0,-100.0,0.0,5845.261607142875
2026-02-23,1,-123.0,-30.75,-123.0,0.0,5722.261607142875
2026-02-24,2,545.25,300.25,272.625,100.0,6267.511607142875
2026-02-25,1,-74.25,-24.75,-74.25,0.0,6193.261607142875
2026-03-01,1,-115.07857142857392,-28.76964285714348,-115.07857142857392,0.0,6078.183035714301
2026-03-04,2,34.5,31.5,17.25,100.0,6112.683035714301
2026-03-12,3,388.3249999999971,152.89374999999927,129.4416666666657,66.66666666666666,6501.008035714298
2026-03-16,1,-113.0,-28.25,-113.0,0.0,6388.008035714298
2026-03-18,4,-328.0,-70.25,-82.0,25.0,6060.008035714298
2026-03-19,2,404.0,162.0,202.0,100.0,6464.008035714298
2026-03-22,2,23.5,23.5,11.75,50.0,6487.508035714298
2026-03-25,2,18.75,18.75,9.375,50.0,6506.258035714298
2026-03-26,4,1642.75,588.25,410.6875,100.0,8149.008035714298
2026-03-29,2,212.75,94.75,106.375,100.0,8361.758035714298
2026-04-01,2,21.75,21.75,10.875,50.0,8383.508035714298
