calendar_exit_date_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-13,1,-125.0,-25.0,-125.0,0.0,-125.0
2025-04-22,1,-136.25,-27.25,-136.25,0.0,-261.25
2025-04-28,3,298.75,118.75,99.58333333333333,100.0,37.5
2025-04-29,2,25.25,25.25,12.625,50.0,62.75
2025-04-30,3,204.0,72.75,68.0,66.66666666666666,266.75
2025-05-01,1,-120.0,-30.0,-120.0,0.0,146.75
2025-05-11,1,26.75,26.75,26.75,100.0,173.5
2025-05-12,1,1137.0,379.0,1137.0,100.0,1310.5
2025-05-14,1,-90.0,-22.5,-90.0,0.0,1220.5
2025-05-16,2,-60.25,0.25,-30.125,50.0,1160.25
2025-05-20,1,-91.0,-22.75,-91.0,0.0,1069.25
2025-05-25,1,42.25,42.25,42.25,100.0,1111.5
2025-05-26,1,237.0,79.0,237.0,100.0,1348.5
2025-05-27,1,-132.0,-33.0,-132.0,0.0,1216.5
2025-05-28,3,-67.5,6.75,-22.5,33.33333333333333,1149.0
2025-06-02,2,-206.0,-51.5,-103.0,0.0,943.0
2025-06-03,2,785.5,284.5,392.75,100.0,1728.5
2025-06-05,1,-143.0,-35.75,-143.0,0.0,1585.5
2025-06-09,2,27.0,27.0,13.5,50.0,1612.5
2025-06-10,1,25.5,25.5,25.5,100.0,1638.0
2025-06-11,1,0.0,0.0,0.0,0.0,1638.0
2025-06-12,1,-106.0,-26.5,-106.0,0.0,1532.0
2025-06-15,1,32.5,32.5,32.5,100.0,1564.5
2025-06-16,1,314.25,104.75,314.25,100.0,1878.75
2025-06-17,1,28.0,28.0,28.0,100.0,1906.75
2025-06-18,1,0.0,0.0,0.0,0.0,1906.75
2025-06-19,1,28.0,28.0,28.0,100.0,1934.75
2025-06-20,1,-74.25,-24.75,-74.25,0.0,1860.5
2025-06-23,2,162.25,74.75,81.125,100.0,2022.75
2025-06-25,3,54.25,54.25,18.083333333333332,66.66666666666666,2077.0
2025-06-26,3,-104.92857142856519,-6.732142857141298,-34.9761904761884,33.33333333333333,1972.0714285714348
2025-06-27,1,262.5,87.5,262.5,100.0,2234.571428571435
