exit_apex_session_date,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,win_rate_pct,cumulative_pnl_dollars
2025-04-22,1,-670.0,-33.5,-670.0,0.0,-670.0
2025-05-27,2,-50.0,-2.5,-25.0,50.0,-720.0
2025-06-01,2,-1030.0,-51.5,-515.0,0.0,-1750.0
2025-06-10,1,-395.0,-19.75,-395.0,0.0,-2145.0
2025-06-11,1,-530.0,-26.5,-530.0,0.0,-2675.0
2025-06-22,2,1495.0,74.75,747.5,100.0,-1180.0
2025-08-31,2,740.0,37.0,370.0,100.0,-440.0
2025-09-01,2,575.0,28.75,287.5,50.0,135.0
2025-09-14,2,4000.0,200.0,2000.0,100.0,4135.0
2025-11-16,1,-525.839285714319,-26.29196428571595,-525.839285714319,0.0,3609.160714285681
2025-12-07,1,-530.0,-26.5,-530.0,0.0,3079.160714285681
2026-01-12,2,1850.0,92.5,925.0,50.0,4929.160714285681
2026-01-26,2,1455.0,72.75,727.5,100.0,6384.160714285681
2026-02-03,2,8445.0,422.25,4222.5,100.0,14829.160714285681
2026-02-19,1,-500.0,-25.0,-500.0,0.0,14329.160714285681
2026-02-24,2,6005.0,300.25,3002.5,100.0,20334.16071428568
