exit_month_et,trades,gross_pnl_dollars,gross_points,avg_trade_dollars,avg_points_per_trade,win_rate_pct,trading_days,green_days,red_days,worst_day_dollars,best_day_dollars,avg_day_dollars,soft_loss_cap_breach_days,cumulative_pnl_dollars,account_balance_est,month_green,strong_month_flag,equity_peak_est,drawdown_from_peak_dollars
2025-04,1,-670.0,-33.5,-670.0,-33.5,0.0,1,0,1,-670.0,-670.0,-670.0,0,-670.0,49330.0,False,False,49330.0,0.0
2025-05,2,-50.0,-2.5,-25.0,-1.25,50.0,1,0,1,-50.0,-50.0,-50.0,0,-720.0,49280.0,False,False,49330.0,-50.0
2025-06,6,-460.0,-23.0,-76.66666666666667,-3.8333333333333335,33.33333333333333,4,1,3,-1030.0,1495.0,-115.0,1,-1180.0,48820.0,False,False,49330.0,-510.0
2025-09,6,5315.0,265.75,885.8333333333334,44.291666666666664,83.33333333333334,2,2,0,575.0,4000.0,2287.5,0,4135.0,54135.0,True,True,54135.0,0.0
2025-11,1,-525.839285714319,-26.29196428571595,-525.839285714319,-26.29196428571595,0.0,1,0,1,-525.839285714319,-525.839285714319,-525.839285714319,0,3609.160714285681,53609.16071428568,False,False,54135.0,-525.839285714319
2025-12,1,-530.0,-26.5,-530.0,-26.5,0.0,1,0,1,-530.0,-530.0,-530.0,0,3079.160714285681,53079.16071428568,False,False,54135.0,-1055.839285714319
2026-01,4,3305.0,165.25,826.25,41.3125,75.0,2,2,0,1455.0,1850.0,1652.5,0,6384.160714285681,56384.16071428568,True,True,56384.16071428568,0.0
2026-02,5,13950.0,697.5,2790.0,139.5,80.0,3,2,1,-500.0,8445.0,4650.0,0,20334.16071428568,70334.16071428568,True,True,70334.16071428568,0.0
