side,setup_type,bridge_type,setup_tier,entry_variant,planned_entry_price,planned_stop_price,planned_target_price,partial_target_price,runner_target_price,stop_points,tp_points,planned_rr,entry_price,exit_price,realized_points,realized_dollars_5_mnq,return_pct,pnl,cycle_realized_pnl,best_day_pnl_in_cycle,consistency_ratio,qualifying_days_count,prop_daily_loss_limit,prop_max_drawdown_limit,prop_qualifying_day_target,entry_time_et,exit_time_et,entry_apex_session_date,exit_apex_session_date,calendar_exit_date_et,entry_time_et_naive,exit_time_et_naive,entry_month_et,exit_month_et,realized_dollars_10_mnq,report_contracts,realized_dollars_dynamic_contracts
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,19094.75,19069.75,19182.25,19119.75,19182.25,25.0,87.5,3.5,19094.75,19069.75,-25.0,-250.0,-0.001309260398800749,-125.0,-125.0,0.0,0.0,,-1000.0,-2000.0,,2025-04-13 21:47:00-04:00,2025-04-13 22:00:00-04:00,2025-04-13,2025-04-13,2025-04-13,2025-04-13 21:47:00,2025-04-13 22:00:00,2025-04,2025-04,-500.0,5,-125.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,18741.25,18715.0,18827.5,18765.0,18827.5,26.25,86.25,3.2857142857142856,18742.25,18715.0,-27.25,-272.5,-0.0014539342928410193,-136.25,-261.25,0.0,0.0,,-1000.0,-2000.0,,2025-04-22 22:43:00-04:00,2025-04-22 23:11:00-04:00,2025-04-22,2025-04-22,2025-04-22,2025-04-22 22:43:00,2025-04-22 23:11:00,2025-04,2025-04,-545.0,5,-136.25
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,19508.25,19478.470535714285,19623.0,19538.029464285715,19623.0,29.77946428571522,114.75,3.8533265373428467,19497.5,19530.5,33.0,330.0,0.001692524682651575,33.0,-228.25,33.0,0.14457831325301204,,-1000.0,-2000.0,,2025-04-28 15:05:00-04:00,2025-04-28 15:57:00-04:00,2025-04-27,2025-04-27,2025-04-28,2025-04-28 15:05:00,2025-04-28 15:57:00,2025-04,2025-04,660.0,5,33.0
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,19508.25,19478.470535714285,19623.0,19538.029464285715,19623.0,29.77946428571522,114.75,3.8533265373428467,19497.5,19557.5,60.0,600.0,0.003077317604821106,240.0,11.75,273.0,23.23404255319149,,-1000.0,-2000.0,,2025-04-28 15:05:00-04:00,2025-04-28 16:56:00-04:00,2025-04-27,2025-04-27,2025-04-28,2025-04-28 15:05:00,2025-04-28 16:56:00,2025-04,2025-04,1200.0,5,240.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,19544.0,19519.0,19631.5,19569.0,19631.5,25.0,87.5,3.5,19538.5,19564.25,25.75,257.5,0.0013179107915142207,25.75,37.5,298.75,7.966666666666667,,-1000.0,-2000.0,,2025-04-28 22:07:00-04:00,2025-04-28 22:44:00-04:00,2025-04-28,2025-04-28,2025-04-28,2025-04-28 22:07:00,2025-04-28 22:44:00,2025-04,2025-04,515.0,5,25.75
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,19544.0,19519.0,19631.5,19569.0,19631.5,25.0,87.5,3.5,19538.5,19538.5,0.0,0.0,0.0,0.0,37.5,298.75,7.966666666666667,,-1000.0,-2000.0,,2025-04-28 22:07:00-04:00,2025-04-29 02:33:00-04:00,2025-04-28,2025-04-28,2025-04-29,2025-04-28 22:07:00,2025-04-29 02:33:00,2025-04,2025-04,0.0,5,0.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,19564.5,19539.5,19688.5,19589.5,19688.5,25.0,124.0,4.96,19563.0,19588.25,25.25,252.5,0.0012907018350969413,25.25,62.75,298.75,4.760956175298805,,-1000.0,-2000.0,,2025-04-29 22:58:00-04:00,2025-04-29 23:14:00-04:00,2025-04-29,2025-04-29,2025-04-29,2025-04-29 22:58:00,2025-04-29 23:14:00,2025-04,2025-04,505.0,5,25.25
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,19564.5,19539.5,19688.5,19589.5,19688.5,25.0,124.0,4.96,19563.0,19563.0,0.0,0.0,0.0,0.0,62.75,298.75,4.760956175298805,,-1000.0,-2000.0,,2025-04-29 22:58:00-04:00,2025-04-30 02:30:00-04:00,2025-04-29,2025-04-29,2025-04-30,2025-04-29 22:58:00,2025-04-30 02:30:00,2025-04,2025-04,0.0,5,0.0
LONG,NYPM_CONTINUATION,MSS,A,PULLBACK_1M,19892.25,19866.0,19978.5,19916.0,19978.5,26.25,86.25,3.2857142857142856,19891.25,19920.25,29.0,290.0,0.00145792748067608,29.0,91.75,298.75,3.2561307901907357,,-1000.0,-2000.0,,2025-04-30 14:56:00-04:00,2025-04-30 15:27:00-04:00,2025-04-29,2025-04-29,2025-04-30,2025-04-30 14:56:00,2025-04-30 15:27:00,2025-04,2025-04,580.0,5,29.0
LONG,NYPM_CONTINUATION,MSS,A,PULLBACK_1M,19892.25,19866.0,19978.5,19916.0,19978.5,26.25,86.25,3.2857142857142856,19891.25,19935.0,43.75,437.5,0.0021994595613650247,175.0,266.75,298.75,1.119962511715089,,-1000.0,-2000.0,,2025-04-30 14:56:00-04:00,2025-04-30 16:56:00-04:00,2025-04-29,2025-04-29,2025-04-30,2025-04-30 14:56:00,2025-04-30 16:56:00,2025-04,2025-04,875.0,5,175.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,20008.5,19979.5,20125.75,20029.5,20125.75,29.0,117.25,4.043103448275862,20009.5,19979.5,-30.0,-300.0,-0.0014992878382767971,-120.0,146.75,298.75,2.0357751277683134,,-1000.0,-2000.0,,2025-05-01 02:08:00-04:00,2025-05-01 04:30:00-04:00,2025-04-30,2025-04-30,2025-05-01,2025-05-01 02:08:00,2025-05-01 04:30:00,2025-05,2025-05,-600.0,5,-120.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,20552.5,20527.5,20930.75,20577.5,20930.75,25.0,378.25,15.13,20551.75,20578.5,26.75,267.5,0.0013015923218218095,26.75,173.5,298.75,1.7219020172910662,,-1000.0,-2000.0,,2025-05-11 21:44:00-04:00,2025-05-11 22:39:00-04:00,2025-05-11,2025-05-11,2025-05-11,2025-05-11 21:44:00,2025-05-11 22:39:00,2025-05,2025-05,535.0,5,26.75
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,20552.5,20527.5,20930.75,20577.5,20930.75,25.0,378.25,15.13,20551.75,20930.75,379.0,3790.0,0.018441251961511806,1137.0,1310.5,1163.75,0.8880198397558184,,-1000.0,-2000.0,,2025-05-11 21:44:00-04:00,2025-05-12 02:30:00-04:00,2025-05-11,2025-05-11,2025-05-12,2025-05-11 21:44:00,2025-05-12 02:30:00,2025-05,2025-05,7580.0,5,1137.0
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,21352.75,21327.75,21440.25,21377.75,21440.25,25.0,87.5,3.5,21350.25,21327.75,-22.5,-225.0,-0.0010538518284328724,-90.0,1220.5,1163.75,0.953502662843097,,-1000.0,-2000.0,,2025-05-14 04:07:00-04:00,2025-05-14 04:41:00-04:00,2025-05-13,2025-05-13,2025-05-14,2025-05-14 04:07:00,2025-05-14 04:41:00,2025-05,2025-05,-450.0,5,-90.0
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,21455.0,21424.5,21537.0,21474.5,21537.0,30.5,82.0,2.6885245901639343,21454.75,21485.25,30.5,305.0,0.0014215966161339466,30.5,1251.0,1163.75,0.9302557953637091,,-1000.0,-2000.0,,2025-05-16 02:23:00-04:00,2025-05-16 03:27:00-04:00,2025-05-15,2025-05-15,2025-05-16,2025-05-16 02:23:00,2025-05-16 03:27:00,2025-05,2025-05,610.0,5,30.5
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,21455.0,21424.5,21537.0,21474.5,21537.0,30.5,82.0,2.6885245901639343,21454.75,21424.5,-30.25,-302.5,-0.0014099441848541838,-90.75,1160.25,1163.75,1.0030165912518854,,-1000.0,-2000.0,,2025-05-16 02:23:00-04:00,2025-05-16 05:00:00-04:00,2025-05-15,2025-05-15,2025-05-16,2025-05-16 02:23:00,2025-05-16 05:00:00,2025-05,2025-05,-605.0,5,-90.75
LONG,LONDON_CONTINUATION,iFVG,B,PULLBACK_1M,21463.0,21438.0,21562.25,21488.0,21562.25,25.0,99.25,3.97,21460.75,21438.0,-22.75,-227.5,-0.0010600747876937655,-91.0,1069.25,1163.75,1.088379705400982,,-1000.0,-2000.0,,2025-05-20 02:59:00-04:00,2025-05-20 04:36:00-04:00,2025-05-19,2025-05-19,2025-05-20,2025-05-20 02:59:00,2025-05-20 04:36:00,2025-05,2025-05,-455.0,5,-91.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21210.25,21177.5,21290.0,21227.5,21290.0,32.75,79.75,2.435114503816794,21211.0,21253.25,42.25,422.5,0.0019918909999527834,42.25,1111.5,1163.75,1.047008547008547,,-1000.0,-2000.0,,2025-05-25 21:50:00-04:00,2025-05-25 22:49:00-04:00,2025-05-25,2025-05-25,2025-05-25,2025-05-25 21:50:00,2025-05-25 22:49:00,2025-05,2025-05,845.0,5,42.25
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21210.25,21177.5,21290.0,21227.5,21290.0,32.75,79.75,2.435114503816794,21211.0,21290.0,79.0,790.0,0.00372448257979352,237.0,1348.5,1163.75,0.8629959213941416,,-1000.0,-2000.0,,2025-05-25 21:50:00-04:00,2025-05-26 05:32:00-04:00,2025-05-25,2025-05-25,2025-05-26,2025-05-25 21:50:00,2025-05-26 05:32:00,2025-05,2025-05,1580.0,5,237.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,21333.75,21300.75,21488.5,21350.75,21488.5,33.0,154.75,4.6893939393939394,21333.75,21300.75,-33.0,-330.0,-0.0015468447881877845,-132.0,1216.5,1163.75,0.9566378956021373,,-1000.0,-2000.0,,2025-05-27 00:24:00-04:00,2025-05-27 00:50:00-04:00,2025-05-26,2025-05-26,2025-05-27,2025-05-27 00:24:00,2025-05-27 00:50:00,2025-05,2025-05,-660.0,5,-132.0
LONG,LONDON_CONTINUATION,iFVG,B,PULLBACK_1M,21497.0,21469.25,21849.5,21519.25,21849.5,27.75,352.5,12.702702702702704,21496.5,21528.0,31.5,315.0,0.001465354825204157,31.5,1248.0,1163.75,0.9324919871794872,,-1000.0,-2000.0,,2025-05-28 03:29:00-04:00,2025-05-28 04:24:00-04:00,2025-05-27,2025-05-27,2025-05-28,2025-05-28 03:29:00,2025-05-28 04:24:00,2025-05,2025-05,630.0,5,31.5
LONG,LONDON_CONTINUATION,iFVG,B,PULLBACK_1M,21497.0,21469.25,21849.5,21519.25,21849.5,27.75,352.5,12.702702702702704,21496.5,21496.5,0.0,0.0,0.0,0.0,1248.0,1163.75,0.9324919871794872,,-1000.0,-2000.0,,2025-05-28 03:29:00-04:00,2025-05-28 05:48:00-04:00,2025-05-27,2025-05-27,2025-05-28,2025-05-28 03:29:00,2025-05-28 05:48:00,2025-05,2025-05,0.0,5,0.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21797.0,21772.0,21884.5,21822.0,21884.5,25.0,87.5,3.5,21796.75,21772.0,-24.75,-247.5,-0.0011354903827405227,-99.0,1149.0,1163.75,1.0128372497824194,,-1000.0,-2000.0,,2025-05-28 20:45:00-04:00,2025-05-28 22:17:00-04:00,2025-05-28,2025-05-28,2025-05-28,2025-05-28 20:45:00,2025-05-28 22:17:00,2025-05,2025-05,-495.0,5,-99.0
LONG,LONDON_CONTINUATION,iFVG,B,PULLBACK_1M,21292.25,21266.75,21525.75,21316.75,21525.75,25.5,233.5,9.156862745098039,21291.75,21266.75,-25.0,-250.0,-0.0011741637019033746,-100.0,1049.0,1163.75,1.1093898951382268,,-1000.0,-2000.0,,2025-06-02 04:46:00-04:00,2025-06-02 04:51:00-04:00,2025-06-01,2025-06-01,2025-06-02,2025-06-02 04:46:00,2025-06-02 04:51:00,2025-06,2025-06,-500.0,5,-100.0
LONG,LONDON_CONTINUATION,iFVG,B,PULLBACK_1M,21293.5,21266.75,21525.75,21316.75,21525.75,26.75,232.25,8.682242990654206,21293.25,21266.75,-26.5,-265.0,-0.0012445258473929854,-106.0,943.0,1163.75,1.2340933191940615,,-1000.0,-2000.0,,2025-06-02 05:01:00-04:00,2025-06-02 05:05:00-04:00,2025-06-01,2025-06-01,2025-06-02,2025-06-02 05:01:00,2025-06-02 05:05:00,2025-06,2025-06,-530.0,5,-106.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21461.0,21432.25,21759.75,21482.25,21759.75,28.75,298.75,10.391304347826088,21461.0,21495.0,34.0,340.0,0.0015842691393690433,34.0,977.0,1163.75,1.1911463664278403,,-1000.0,-2000.0,,2025-06-03 02:02:00-04:00,2025-06-03 03:00:00-04:00,2025-06-02,2025-06-02,2025-06-03,2025-06-03 02:02:00,2025-06-03 03:00:00,2025-06,2025-06,680.0,5,34.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21461.0,21432.25,21759.75,21482.25,21759.75,28.75,298.75,10.391304347826088,21461.0,21711.5,250.5,2505.0,0.011672335865057448,751.5,1728.5,1163.75,0.6732716227943304,,-1000.0,-2000.0,,2025-06-03 02:02:00-04:00,2025-06-03 16:56:00-04:00,2025-06-02,2025-06-02,2025-06-03,2025-06-03 02:02:00,2025-06-03 16:56:00,2025-06,2025-06,5010.0,5,751.5
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,21822.5,21787.75,21900.25,21837.75,21900.25,34.75,77.75,2.237410071942446,21823.5,21787.75,-35.75,-357.5,-0.001638142369464135,-143.0,1585.5,1163.75,0.7339955849889624,,-1000.0,-2000.0,,2025-06-04 23:57:00-04:00,2025-06-05 00:55:00-04:00,2025-06-04,2025-06-04,2025-06-05,2025-06-04 23:57:00,2025-06-05 00:55:00,2025-06,2025-06,-715.0,5,-143.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,21767.25,21741.5,21873.5,21791.5,21873.5,25.75,106.25,4.12621359223301,21767.0,21794.0,27.0,270.0,0.001240409794643238,27.0,1612.5,1163.75,0.7217054263565892,,-1000.0,-2000.0,,2025-06-08 22:55:00-04:00,2025-06-09 00:00:00-04:00,2025-06-08,2025-06-08,2025-06-09,2025-06-08 22:55:00,2025-06-09 00:00:00,2025-06,2025-06,540.0,5,27.0
LONG,ASIA_CONTINUATION,iFVG,B,PULLBACK_1M,21767.25,21741.5,21873.5,21791.5,21873.5,25.75,106.25,4.12621359223301,21767.0,21767.0,0.0,0.0,0.0,0.0,1612.5,1163.75,0.7217054263565892,,-1000.0,-2000.0,,2025-06-08 22:55:00-04:00,2025-06-09 05:35:00-04:00,2025-06-08,2025-06-08,2025-06-09,2025-06-08 22:55:00,2025-06-09 05:35:00,2025-06,2025-06,0.0,5,0.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21889.0,21864.0,21976.5,21914.0,21976.5,25.0,87.5,3.5,21887.5,21913.0,25.5,255.0,0.0011650485436893732,25.5,1638.0,1163.75,0.7104700854700855,,-1000.0,-2000.0,,2025-06-10 21:07:00-04:00,2025-06-10 23:23:00-04:00,2025-06-10,2025-06-10,2025-06-10,2025-06-10 21:07:00,2025-06-10 23:23:00,2025-06,2025-06,510.0,5,25.5
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21889.0,21864.0,21976.5,21914.0,21976.5,25.0,87.5,3.5,21887.5,21887.5,0.0,0.0,0.0,0.0,1638.0,1163.75,0.7104700854700855,,-1000.0,-2000.0,,2025-06-10 21:07:00-04:00,2025-06-11 03:16:00-04:00,2025-06-10,2025-06-10,2025-06-11,2025-06-10 21:07:00,2025-06-11 03:16:00,2025-06,2025-06,0.0,5,0.0
LONG,NYPM_CONTINUATION,iFVG,A,PULLBACK_1M,21881.25,21856.25,22106.0,21906.25,22106.0,25.0,224.75,8.99,21882.75,21856.25,-26.5,-265.0,-0.0012109995315945365,-106.0,1532.0,1163.75,0.7596279373368147,,-1000.0,-2000.0,,2025-06-12 14:49:00-04:00,2025-06-12 15:41:00-04:00,2025-06-11,2025-06-11,2025-06-12,2025-06-12 14:49:00,2025-06-12 15:41:00,2025-06,2025-06,-530.0,10,-106.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21749.75,21719.75,21854.75,21769.75,21854.75,30.0,105.0,3.5,21750.0,21782.5,32.5,325.0,0.0014942528735633065,32.5,1564.5,1163.75,0.743847874720358,,-1000.0,-2000.0,,2025-06-15 22:42:00-04:00,2025-06-15 23:51:00-04:00,2025-06-15,2025-06-15,2025-06-15,2025-06-15 22:42:00,2025-06-15 23:51:00,2025-06,2025-06,650.0,5,32.5
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21749.75,21719.75,21854.75,21769.75,21854.75,30.0,105.0,3.5,21750.0,21854.75,104.75,1047.5,0.004816091954022994,314.25,1878.75,1163.75,0.6194278110445776,,-1000.0,-2000.0,,2025-06-15 22:42:00-04:00,2025-06-16 05:31:00-04:00,2025-06-15,2025-06-15,2025-06-16,2025-06-15 22:42:00,2025-06-16 05:31:00,2025-06,2025-06,2095.0,5,314.25
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21982.25,21957.0,22069.5,22007.0,22069.5,25.25,87.25,3.4554455445544554,21982.5,22010.5,28.0,280.0,0.0012737404753782045,28.0,1906.75,1163.75,0.610331716271142,,-1000.0,-2000.0,,2025-06-17 20:48:00-04:00,2025-06-17 22:12:00-04:00,2025-06-17,2025-06-17,2025-06-17,2025-06-17 20:48:00,2025-06-17 22:12:00,2025-06,2025-06,560.0,5,28.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21982.25,21957.0,22069.5,22007.0,22069.5,25.25,87.25,3.4554455445544554,21982.5,21982.5,0.0,0.0,0.0,0.0,1906.75,1163.75,0.610331716271142,,-1000.0,-2000.0,,2025-06-17 20:48:00-04:00,2025-06-18 02:52:00-04:00,2025-06-17,2025-06-17,2025-06-18,2025-06-17 20:48:00,2025-06-18 02:52:00,2025-06,2025-06,0.0,5,0.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21905.25,21880.0,22097.75,21930.0,22097.75,25.25,192.5,7.623762376237623,21904.75,21932.75,28.0,280.0,0.0012782615642725759,28.0,1934.75,1163.75,0.601498901666882,,-1000.0,-2000.0,,2025-06-19 20:18:00-04:00,2025-06-19 22:08:00-04:00,2025-06-19,2025-06-19,2025-06-19,2025-06-19 20:18:00,2025-06-19 22:08:00,2025-06,2025-06,560.0,5,28.0
LONG,ASIA_CONTINUATION,C2C3,B,PULLBACK_1M,21905.25,21880.0,22097.75,21930.0,22097.75,25.25,192.5,7.623762376237623,21904.75,21880.0,-24.75,-247.5,-0.001129891918419501,-74.25,1860.5,1163.75,0.625503896801935,,-1000.0,-2000.0,,2025-06-19 20:18:00-04:00,2025-06-20 00:50:00-04:00,2025-06-19,2025-06-19,2025-06-20,2025-06-19 20:18:00,2025-06-20 00:50:00,2025-06,2025-06,-495.0,5,-74.25
LONG,NYPM_CONTINUATION,MSS,A,PULLBACK_1M,22197.75,22168.930357142857,22384.5,22225.069642857143,22384.5,28.819642857142753,186.75,6.479955387570505,22196.75,22227.75,31.0,310.0,0.0013966008537285024,31.0,1891.5,1163.75,0.6152524451493524,,-1000.0,-2000.0,,2025-06-23 14:59:00-04:00,2025-06-23 15:02:00-04:00,2025-06-22,2025-06-22,2025-06-23,2025-06-23 14:59:00,2025-06-23 15:02:00,2025-06,2025-06,620.0,10,31.0
LONG,NYPM_CONTINUATION,MSS,A,PULLBACK_1M,22197.75,22168.930357142857,22384.5,22225.069642857143,22384.5,28.819642857142753,186.75,6.479955387570505,22196.75,22240.5,43.75,437.5,0.0019710092693749903,131.25,2022.75,1163.75,0.5753306142627611,,-1000.0,-2000.0,,2025-06-23 14:59:00-04:00,2025-06-23 16:56:00-04:00,2025-06-22,2025-06-22,2025-06-23,2025-06-23 14:59:00,2025-06-23 16:56:00,2025-06,2025-06,875.0,10,131.25
LONG,LONDON_CONTINUATION,C2C3,A,PULLBACK_1M,22451.5,22423.75,22559.5,22473.75,22559.5,27.75,108.0,3.891891891891892,22452.0,22480.25,28.25,282.5,0.0012582398004632456,28.25,2051.0,1163.75,0.5674061433447098,,-1000.0,-2000.0,,2025-06-25 02:56:00-04:00,2025-06-25 03:51:00-04:00,2025-06-24,2025-06-24,2025-06-25,2025-06-25 02:56:00,2025-06-25 03:51:00,2025-06,2025-06,565.0,5,28.25
