exit_month_et,trades,gross_pnl_dollars_dynamic,gross_points,avg_trade_dollars_dynamic,avg_points_per_trade,win_rate_pct,cumulative_pnl_dollars_dynamic
2025-04,1,-670.0,-33.5,-670.0,-33.5,0.0,-670.0
2025-05,2,-50.0,-2.5,-25.0,-1.25,50.0,-720.0
2025-06,6,-460.0,-23.0,-76.66666666666667,-3.8333333333333335,33.33333333333333,-1180.0
2025-09,6,5315.0,265.75,885.8333333333334,44.291666666666664,83.33333333333334,4135.0
2025-11,1,-525.839285714319,-26.29196428571595,-525.839285714319,-26.29196428571595,0.0,3609.160714285681
2025-12,1,-530.0,-26.5,-530.0,-26.5,0.0,3079.160714285681
2026-01,4,3305.0,165.25,826.25,41.3125,75.0,6384.160714285681
2026-02,5,13950.0,697.5,2790.0,139.5,80.0,20334.16071428568
